distiller_id,scan_number,nersc_write_time,ncem_created_time,time_difference_seconds
3314,3813,2023-10-13 11:46:20,2023-10-13 11:46:12,8.0
3315,3814,2023-10-13 11:46:54,2023-10-13 11:46:48,6.0
3316,3815,2023-10-13 11:49:13,2023-10-13 11:49:06,7.0
3317,3816,2023-10-13 11:49:28,2023-10-13 11:49:21,7.0
3318,3817,2023-10-13 11:49:43,2023-10-13 11:49:36,7.0
3319,3818,2023-10-13 11:49:57,2023-10-13 11:49:51,6.0
3320,3819,2023-10-13 11:50:12,2023-10-13 11:50:06,6.0
3321,3820,2023-10-13 11:50:28,2023-10-13 11:50:21,7.0
3322,3821,2023-10-13 11:50:42,2023-10-13 11:50:36,6.0
3323,3822,2023-10-13 11:50:58,2023-10-13 11:50:51,7.0
3324,3823,2023-10-13 11:51:12,2023-10-13 11:51:06,6.0
3325,3824,2023-10-13 11:51:28,2023-10-13 11:51:21,7.0
3326,3825,2023-10-13 11:51:43,2023-10-13 11:51:36,7.0
3327,3826,2023-10-13 11:51:58,2023-10-13 11:51:51,7.0
3328,3827,2023-10-13 11:52:13,2023-10-13 11:52:06,7.0
3329,3828,2023-10-13 11:52:28,2023-10-13 11:52:21,7.0
3330,3829,2023-10-13 11:52:43,2023-10-13 11:52:36,7.0
3331,3830,2023-10-13 11:52:58,2023-10-13 11:52:51,7.0
3332,3831,2023-10-13 11:53:13,2023-10-13 11:53:06,7.0
3333,3832,2023-10-13 11:53:28,2023-10-13 11:53:21,7.0
3334,3833,2023-10-13 11:53:43,2023-10-13 11:53:36,7.0
3335,3834,2023-10-13 11:53:58,2023-10-13 11:53:51,7.0
3336,3835,2023-10-13 11:54:13,2023-10-13 11:54:06,7.0
3337,3836,2023-10-13 11:54:28,2023-10-13 11:54:21,7.0
3338,3837,2023-10-13 11:54:43,2023-10-13 11:54:36,7.0
3339,3838,2023-10-13 11:54:58,2023-10-13 11:54:51,7.0
3340,3839,2023-10-13 11:55:13,2023-10-13 11:55:06,7.0
3341,3840,2023-10-13 11:55:28,2023-10-13 11:55:21,7.0
3342,3841,2023-10-13 11:55:43,2023-10-13 11:55:36,7.0
3343,3842,2023-10-13 11:55:58,2023-10-13 11:55:51,7.0
3344,3843,2023-10-13 11:56:13,2023-10-13 11:56:06,7.0
3345,3844,2023-10-13 11:56:28,2023-10-13 11:56:21,7.0
3346,3845,2023-10-13 11:56:43,2023-10-13 11:56:36,7.0
3347,3846,2023-10-13 11:56:58,2023-10-13 11:56:51,7.0
3348,3847,2023-10-13 11:57:13,2023-10-13 11:57:06,7.0
3349,3848,2023-10-13 11:57:28,2023-10-13 11:57:21,7.0
3350,3849,2023-10-13 11:57:43,2023-10-13 11:57:36,7.0
3351,3850,2023-10-13 11:57:58,2023-10-13 11:57:51,7.0
3352,3851,2023-10-13 11:58:13,2023-10-13 11:58:06,7.0
3353,3852,2023-10-13 11:58:28,2023-10-13 11:58:21,7.0
3354,3853,2023-10-13 11:58:44,2023-10-13 11:58:36,8.0
3355,3854,2023-10-13 11:58:58,2023-10-13 11:58:51,7.0
3356,3855,2023-10-13 11:59:13,2023-10-13 11:59:06,7.0
3357,3856,2023-10-13 11:59:28,2023-10-13 11:59:21,7.0
3358,3857,2023-10-13 11:59:43,2023-10-13 11:59:36,7.0
3359,3858,2023-10-13 11:59:58,2023-10-13 11:59:51,7.0
3360,3859,2023-10-13 12:00:13,2023-10-13 12:00:06,7.0
3361,3860,2023-10-13 12:00:28,2023-10-13 12:00:21,7.0
3362,3861,2023-10-13 12:00:44,2023-10-13 12:00:36,8.0
3363,3862,2023-10-13 12:00:58,2023-10-13 12:00:52,6.0
3364,3863,2023-10-13 12:01:13,2023-10-13 12:01:06,7.0
3365,3864,2023-10-13 12:01:28,2023-10-13 12:01:22,6.0
3366,3865,2023-10-13 12:01:43,2023-10-13 12:01:36,7.0
3367,3866,2023-10-13 12:01:58,2023-10-13 12:01:52,6.0
3368,3867,2023-10-13 12:02:13,2023-10-13 12:02:06,7.0
3369,3868,2023-10-13 12:02:28,2023-10-13 12:02:21,7.0
3370,3869,2023-10-13 12:02:43,2023-10-13 12:02:37,6.0
3371,3870,2023-10-13 12:02:58,2023-10-13 12:02:52,6.0
3372,3871,2023-10-13 12:03:13,2023-10-13 12:03:07,6.0
3373,3872,2023-10-13 12:03:28,2023-10-13 12:03:22,6.0
3374,3873,2023-10-13 12:03:43,2023-10-13 12:03:37,6.0
3375,3874,2023-10-13 12:03:58,2023-10-13 12:03:52,6.0
3376,3875,2023-10-13 12:04:13,2023-10-13 12:04:07,6.0
3377,3876,2023-10-13 12:04:28,2023-10-13 12:04:22,6.0
3378,3877,2023-10-13 12:04:44,2023-10-13 12:04:37,7.0
3379,3878,2023-10-13 12:04:58,2023-10-13 12:04:52,6.0
3380,3879,2023-10-13 12:05:13,2023-10-13 12:05:07,6.0
3381,3880,2023-10-13 12:05:28,2023-10-13 12:05:22,6.0
3382,3881,2023-10-13 12:05:43,2023-10-13 12:05:37,6.0
3383,3882,2023-10-13 12:05:58,2023-10-13 12:05:52,6.0
3384,3883,2023-10-13 12:06:13,2023-10-13 12:06:07,6.0
3385,3884,2023-10-13 12:06:29,2023-10-13 12:06:22,7.0
3386,3885,2023-10-13 12:06:43,2023-10-13 12:06:37,6.0
3387,3886,2023-10-13 12:06:58,2023-10-13 12:06:52,6.0
3388,3887,2023-10-13 12:07:13,2023-10-13 12:07:07,6.0
3389,3888,2023-10-13 12:07:28,2023-10-13 12:07:22,6.0
