distiller_id,scan_number,datetime
03314,3813,2023-10-13 11:46:20
03315,3814,2023-10-13 11:46:54
03316,3815,2023-10-13 11:49:13
03317,3816,2023-10-13 11:49:28
03318,3817,2023-10-13 11:49:43
03319,3818,2023-10-13 11:49:57
03320,3819,2023-10-13 11:50:12
03321,3820,2023-10-13 11:50:28
03322,3821,2023-10-13 11:50:42
03323,3822,2023-10-13 11:50:58
03324,3823,2023-10-13 11:51:12
03325,3824,2023-10-13 11:51:28
03326,3825,2023-10-13 11:51:43
03327,3826,2023-10-13 11:51:58
03328,3827,2023-10-13 11:52:13
03329,3828,2023-10-13 11:52:28
03330,3829,2023-10-13 11:52:43
03331,3830,2023-10-13 11:52:58
03332,3831,2023-10-13 11:53:13
03333,3832,2023-10-13 11:53:28
03334,3833,2023-10-13 11:53:43
03335,3834,2023-10-13 11:53:58
03336,3835,2023-10-13 11:54:13
03337,3836,2023-10-13 11:54:28
03338,3837,2023-10-13 11:54:43
03339,3838,2023-10-13 11:54:58
03340,3839,2023-10-13 11:55:13
03341,3840,2023-10-13 11:55:28
03342,3841,2023-10-13 11:55:43
03343,3842,2023-10-13 11:55:58
03344,3843,2023-10-13 11:56:13
03345,3844,2023-10-13 11:56:28
03346,3845,2023-10-13 11:56:43
03347,3846,2023-10-13 11:56:58
03348,3847,2023-10-13 11:57:13
03349,3848,2023-10-13 11:57:28
03350,3849,2023-10-13 11:57:43
03351,3850,2023-10-13 11:57:58
03352,3851,2023-10-13 11:58:13
03353,3852,2023-10-13 11:58:28
03354,3853,2023-10-13 11:58:44
03355,3854,2023-10-13 11:58:58
03356,3855,2023-10-13 11:59:13
03357,3856,2023-10-13 11:59:28
03358,3857,2023-10-13 11:59:43
03359,3858,2023-10-13 11:59:58
03360,3859,2023-10-13 12:00:13
03361,3860,2023-10-13 12:00:28
03362,3861,2023-10-13 12:00:44
03363,3862,2023-10-13 12:00:58
03364,3863,2023-10-13 12:01:13
03365,3864,2023-10-13 12:01:28
03366,3865,2023-10-13 12:01:43
03367,3866,2023-10-13 12:01:58
03368,3867,2023-10-13 12:02:13
03369,3868,2023-10-13 12:02:28
03370,3869,2023-10-13 12:02:43
03371,3870,2023-10-13 12:02:58
03372,3871,2023-10-13 12:03:13
03373,3872,2023-10-13 12:03:28
03374,3873,2023-10-13 12:03:43
03375,3874,2023-10-13 12:03:58
03376,3875,2023-10-13 12:04:13
03377,3876,2023-10-13 12:04:28
03378,3877,2023-10-13 12:04:44
03379,3878,2023-10-13 12:04:58
03380,3879,2023-10-13 12:05:13
03381,3880,2023-10-13 12:05:28
03382,3881,2023-10-13 12:05:43
03383,3882,2023-10-13 12:05:58
03384,3883,2023-10-13 12:06:13
03385,3884,2023-10-13 12:06:29
03386,3885,2023-10-13 12:06:43
03387,3886,2023-10-13 12:06:58
03388,3887,2023-10-13 12:07:13
03389,3888,2023-10-13 12:07:28
03390,3889,2023-10-13 12:07:44
03391,3890,2023-10-13 12:07:59
03392,3891,2023-10-13 12:08:13
03393,3892,2023-10-13 12:08:28
03394,3893,2023-10-13 12:08:43
03395,3894,2023-10-13 12:08:59
03396,3895,2023-10-13 12:09:14
03397,3896,2023-10-13 12:09:29
03398,3897,2023-10-13 12:09:43
03399,3898,2023-10-13 12:09:59
03400,3899,2023-10-13 12:10:13
03401,3900,2023-10-13 12:10:28
03402,3901,2023-10-13 12:10:44
03403,3902,2023-10-13 12:10:59
03404,3903,2023-10-13 12:11:13
03405,3904,2023-10-13 12:11:29
03406,3905,2023-10-13 12:11:44
03407,3906,2023-10-13 12:11:59
03408,3907,2023-10-13 12:12:14
03409,3908,2023-10-13 12:12:29
03410,3909,2023-10-13 12:12:45
03411,3910,2023-10-13 12:12:59
03412,3911,2023-10-13 12:13:15
03413,3912,2023-10-13 12:13:28
03414,3913,2023-10-13 12:13:44
03415,3914,2023-10-13 12:13:59
03416,3915,2023-10-13 12:14:15
03417,3916,2023-10-13 12:14:28
03418,3917,2023-10-13 12:14:44
03419,3918,2023-10-13 12:14:58
03420,3919,2023-10-13 12:15:14
03421,3920,2023-10-13 12:15:29
03422,3921,2023-10-13 12:15:44
