distiller_id,scan_number,nersc_write_time,ncem_created_time,time_difference_seconds
4165,4653,2023-10-13 20:52:39,2023-10-13 20:51:03,96.0
4166,4654,2023-10-13 20:54:58,2023-10-13 20:53:23,95.0
4167,4655,2023-10-13 20:57:20,2023-10-13 20:55:43,97.0
4168,4656,2023-10-13 20:59:38,2023-10-13 20:58:03,95.0
4169,4657,2023-10-13 21:02:05,2023-10-13 21:00:23,102.0
4170,4658,2023-10-13 21:04:29,2023-10-13 21:02:43,106.0
4171,4659,2023-10-13 21:06:49,2023-10-13 21:05:03,106.0
4172,4660,2023-10-13 21:08:59,2023-10-13 21:07:23,96.0
4173,4661,2023-10-13 21:11:18,2023-10-13 21:09:43,95.0
4174,4662,2023-10-13 21:13:42,2023-10-13 21:12:03,99.0
4175,4663,2023-10-13 21:16:06,2023-10-13 21:14:23,103.0
4176,4664,2023-10-13 21:18:18,2023-10-13 21:16:43,95.0
4177,4665,2023-10-13 21:20:37,2023-10-13 21:19:03,94.0
4178,4666,2023-10-13 21:22:57,2023-10-13 21:21:23,94.0
4179,4667,2023-10-13 21:25:18,2023-10-13 21:23:44,94.0
4180,4668,2023-10-13 21:27:40,2023-10-13 21:26:03,97.0
4181,4669,2023-10-13 21:30:07,2023-10-13 21:28:24,103.0
4182,4670,2023-10-13 21:32:29,2023-10-13 21:30:43,106.0
4183,4671,2023-10-13 21:34:40,2023-10-13 21:33:03,97.0
4184,4672,2023-10-13 21:37:01,2023-10-13 21:35:24,97.0
4185,4673,2023-10-13 21:39:23,2023-10-13 21:37:43,100.0
4186,4674,2023-10-13 21:41:46,2023-10-13 21:40:03,103.0
4187,4675,2023-10-13 21:44:04,2023-10-13 21:42:24,100.0
4188,4676,2023-10-13 21:46:27,2023-10-13 21:44:44,103.0
4189,4677,2023-10-13 21:48:41,2023-10-13 21:47:04,97.0
4190,4678,2023-10-13 21:50:58,2023-10-13 21:49:23,95.0
4191,4679,2023-10-13 21:53:13,2023-10-13 21:51:44,89.0
4192,4680,2023-10-13 21:55:38,2023-10-13 21:54:04,94.0
4193,4681,2023-10-13 21:57:58,2023-10-13 21:56:24,94.0
4195,4682,2023-10-13 22:00:24,2023-10-13 21:58:44,100.0
4196,4683,2023-10-13 22:02:41,2023-10-13 22:01:04,97.0
4197,4684,2023-10-13 22:04:56,2023-10-13 22:03:24,92.0
4198,4685,2023-10-13 22:07:19,2023-10-13 22:05:44,95.0
4199,4686,2023-10-13 22:09:40,2023-10-13 22:08:04,96.0
4200,4687,2023-10-13 22:11:58,2023-10-13 22:10:24,94.0
4202,4688,2023-10-13 22:14:24,2023-10-13 22:12:44,100.0
4203,4689,2023-10-13 22:16:39,2023-10-13 22:15:04,95.0
4204,4690,2023-10-13 22:18:56,2023-10-13 22:17:24,92.0
4205,4691,2023-10-13 22:21:19,2023-10-13 22:19:44,95.0
4206,4692,2023-10-13 22:23:39,2023-10-13 22:22:04,95.0
4207,4693,2023-10-13 22:25:57,2023-10-13 22:24:24,93.0
4209,4694,2023-10-13 22:28:17,2023-10-13 22:26:44,93.0
4210,4695,2023-10-13 22:30:38,2023-10-13 22:29:04,94.0
4211,4696,2023-10-13 22:32:59,2023-10-13 22:31:24,95.0
4212,4697,2023-10-13 22:35:27,2023-10-13 22:33:44,103.0
4213,4698,2023-10-13 22:37:46,2023-10-13 22:36:04,102.0
