distiller_id,scan_number,datetime
03730,4227,2023-10-13 13:42:58
03731,4228,2023-10-13 13:43:48
03732,4229,2023-10-13 13:44:44
03733,4230,2023-10-13 13:45:40
03735,4231,2023-10-13 13:46:33
03736,4232,2023-10-13 13:47:29
03737,4233,2023-10-13 13:48:25
03738,4234,2023-10-13 13:49:18
03739,4235,2023-10-13 13:50:13
03740,4236,2023-10-13 13:51:08
03741,4237,2023-10-13 13:52:03
03742,4238,2023-10-13 13:52:56
03743,4239,2023-10-13 13:53:52
03744,4240,2023-10-13 13:54:50
03745,4241,2023-10-13 13:55:42
03746,4242,2023-10-13 13:56:37
03747,4243,2023-10-13 13:57:32
03748,4244,2023-10-13 13:58:50
03749,4245,2023-10-13 13:59:24
03750,4246,2023-10-13 14:00:18
03751,4247,2023-10-13 14:01:11
03752,4248,2023-10-13 14:02:06
03753,4249,2023-10-13 14:03:03
03754,4250,2023-10-13 14:03:58
03755,4251,2023-10-13 14:04:53
03756,4252,2023-10-13 14:05:48
03757,4253,2023-10-13 14:06:42
03758,4254,2023-10-13 14:07:40
03759,4255,2023-10-13 14:08:35
03760,4256,2023-10-13 14:09:28
03761,4257,2023-10-13 14:10:24
03762,4258,2023-10-13 14:11:20
03763,4259,2023-10-13 14:12:13
03764,4260,2023-10-13 14:13:09
03765,4261,2023-10-13 14:14:03
03766,4262,2023-10-13 14:14:58
03767,4263,2023-10-13 14:15:53
03768,4264,2023-10-13 14:16:48
03769,4265,2023-10-13 14:17:44
03770,4266,2023-10-13 14:18:38
03771,4267,2023-10-13 14:19:36
03772,4268,2023-10-13 14:20:28
03773,4269,2023-10-13 14:21:22
03774,4270,2023-10-13 14:22:17
03775,4271,2023-10-13 14:23:12
03776,4272,2023-10-13 14:24:07
03777,4273,2023-10-13 14:25:04
03778,4274,2023-10-13 14:25:59
03779,4275,2023-10-13 14:26:54
03780,4276,2023-10-13 14:28:02
03781,4277,2023-10-13 14:28:44
03782,4278,2023-10-13 14:29:38
03783,4279,2023-10-13 14:30:33
03784,4280,2023-10-13 14:31:28
03785,4281,2023-10-13 14:32:22
03786,4282,2023-10-13 14:33:18
03787,4283,2023-10-13 14:34:13
03788,4284,2023-10-13 14:35:08
03789,4285,2023-10-13 14:36:02
03790,4286,2023-10-13 14:36:59
03791,4287,2023-10-13 14:37:52
03792,4288,2023-10-13 14:38:54
03793,4289,2023-10-13 14:39:42
03794,4290,2023-10-13 14:40:37
03795,4291,2023-10-13 14:41:32
03797,4292,2023-10-13 14:42:28
03798,4293,2023-10-13 14:44:02
03799,4294,2023-10-13 14:44:17
03800,4295,2023-10-13 14:45:13
03801,4296,2023-10-13 14:46:07
03802,4297,2023-10-13 14:47:02
03803,4298,2023-10-13 14:47:58
03804,4299,2023-10-13 14:48:53
03805,4300,2023-10-13 14:49:48
03806,4301,2023-10-13 14:50:42
03807,4302,2023-10-13 14:51:37
03808,4303,2023-10-13 14:52:32
03809,4304,2023-10-13 14:53:29
03810,4305,2023-10-13 14:54:24
03811,4306,2023-10-13 14:55:19
03812,4307,2023-10-13 14:56:13
03813,4308,2023-10-13 14:57:08
03814,4309,2023-10-13 14:58:02
03815,4310,2023-10-13 14:58:58
03816,4311,2023-10-13 14:59:53
03817,4312,2023-10-13 15:00:47
03818,4313,2023-10-13 15:01:43
03820,4314,2023-10-13 15:02:38
03821,4315,2023-10-13 15:03:33
03822,4316,2023-10-13 15:04:29
03823,4317,2023-10-13 15:05:23
03824,4318,2023-10-13 15:06:18
03825,4319,2023-10-13 15:07:14
03826,4320,2023-10-13 15:08:13
03827,4321,2023-10-13 15:09:06
03828,4322,2023-10-13 15:10:00
03829,4323,2023-10-13 15:10:55
03830,4324,2023-10-13 15:11:49
03831,4325,2023-10-13 15:12:45
03832,4326,2023-10-13 15:13:38
03833,4327,2023-10-13 15:14:34
03834,4328,2023-10-13 15:15:29
03835,4329,2023-10-13 15:16:23
03836,4330,2023-10-13 15:17:18
03837,4331,2023-10-13 15:18:15
03838,4332,2023-10-13 15:19:08
03839,4333,2023-10-13 15:20:03
03840,4334,2023-10-13 15:20:57
03841,4335,2023-10-13 15:21:53
03842,4336,2023-10-13 15:22:48
03844,4337,2023-10-13 15:23:43
03845,4338,2023-10-13 15:24:38
03846,4339,2023-10-13 15:25:33
03847,4340,2023-10-13 15:26:27
03848,4341,2023-10-13 15:27:24
03849,4342,2023-10-13 15:28:21
03850,4343,2023-10-13 15:29:15
03851,4344,2023-10-13 15:30:09
03852,4345,2023-10-13 15:31:03
03853,4346,2023-10-13 15:31:58
03854,4347,2023-10-13 15:32:54
03855,4348,2023-10-13 15:33:53
03856,4349,2023-10-13 15:34:45
03857,4350,2023-10-13 15:35:42
03858,4351,2023-10-13 15:36:35
03859,4352,2023-10-13 15:37:32
03860,4353,2023-10-13 15:38:23
03861,4354,2023-10-13 15:39:19
03862,4355,2023-10-13 15:40:13
03863,4356,2023-10-13 15:47:40
03864,4357,2023-10-13 15:48:33
03865,4358,2023-10-13 15:49:28
03866,4359,2023-10-13 15:50:24
03867,4360,2023-10-13 15:51:21
03868,4361,2023-10-13 15:52:16
03869,4362,2023-10-13 15:53:09
03870,4363,2023-10-13 15:54:04
03871,4364,2023-10-13 15:55:00
03872,4365,2023-10-13 15:55:56
03873,4366,2023-10-13 15:56:52
03874,4367,2023-10-13 15:57:49
03875,4368,2023-10-13 15:58:41
03876,4369,2023-10-13 15:59:35
03877,4370,2023-10-13 16:00:31
03878,4371,2023-10-13 16:01:24
03879,4372,2023-10-13 16:02:20
03880,4373,2023-10-13 16:03:15
03881,4374,2023-10-13 16:04:10
03882,4375,2023-10-13 16:05:05
03883,4376,2023-10-13 16:06:00
03884,4377,2023-10-13 16:06:53
03885,4378,2023-10-13 16:07:49
03886,4379,2023-10-13 16:08:45
03887,4380,2023-10-13 16:09:39
03888,4381,2023-10-13 16:10:35
03889,4382,2023-10-13 16:11:31
03890,4383,2023-10-13 16:12:26
03891,4384,2023-10-13 16:13:20
03892,4385,2023-10-13 16:14:14
03893,4386,2023-10-13 16:15:11
03894,4387,2023-10-13 16:16:04
03895,4388,2023-10-13 16:16:59
03896,4389,2023-10-13 16:17:55
03897,4390,2023-10-13 16:18:49
03898,4391,2023-10-13 16:19:44
03899,4392,2023-10-13 16:20:42
03900,4393,2023-10-13 16:21:35
03901,4394,2023-10-13 16:22:31
03902,4395,2023-10-13 16:23:25
03903,4396,2023-10-13 16:24:19
03904,4397,2023-10-13 16:25:14
03905,4398,2023-10-13 16:26:11
03906,4399,2023-10-13 16:27:05
03907,4400,2023-10-13 16:28:05
03908,4401,2023-10-13 16:28:55
03910,4402,2023-10-13 16:29:57
03911,4403,2023-10-13 16:30:47
03912,4404,2023-10-13 16:31:43
03913,4405,2023-10-13 16:34:52
03914,4406,2023-10-13 16:35:44
03915,4407,2023-10-13 16:36:39
03916,4408,2023-10-13 16:37:33
03917,4409,2023-10-13 16:38:33
03918,4410,2023-10-13 16:39:24
03919,4411,2023-10-13 16:40:19
03920,4412,2023-10-13 16:41:13
03921,4413,2023-10-13 16:42:08
03922,4414,2023-10-13 16:43:02
03923,4415,2023-10-13 16:43:58
03924,4416,2023-10-13 16:44:54
03925,4417,2023-10-13 16:45:51
03926,4418,2023-10-13 16:46:44
03927,4419,2023-10-13 16:47:42
03928,4420,2023-10-13 16:48:34
03929,4421,2023-10-13 16:49:32
03930,4422,2023-10-13 16:50:25
03931,4423,2023-10-13 16:51:20
03932,4424,2023-10-13 16:52:13
03933,4425,2023-10-13 16:53:08
03934,4426,2023-10-13 16:54:03
03935,4427,2023-10-13 16:54:58
03936,4428,2023-10-13 16:55:54
03937,4429,2023-10-13 16:56:50
03938,4430,2023-10-13 16:57:42
03939,4431,2023-10-13 16:58:38
03940,4432,2023-10-13 16:59:33
03941,4433,2023-10-13 17:00:28
03942,4434,2023-10-13 17:01:25
03943,4435,2023-10-13 17:02:21
03944,4436,2023-10-13 17:03:15
03945,4437,2023-10-13 17:04:10
03946,4438,2023-10-13 17:05:05
03947,4439,2023-10-13 17:05:58
03948,4440,2023-10-13 17:06:58
03949,4441,2023-10-13 17:07:50
03950,4442,2023-10-13 17:08:46
03951,4443,2023-10-13 17:09:39
03952,4444,2023-10-13 17:10:35
03953,4445,2023-10-13 17:11:28
03954,4446,2023-10-13 17:12:25
03955,4447,2023-10-13 17:13:20
03956,4448,2023-10-13 17:14:13
03957,4449,2023-10-13 17:15:09
03958,4450,2023-10-13 17:16:03
03959,4451,2023-10-13 17:16:59
03960,4452,2023-10-13 17:17:53
03961,4453,2023-10-13 17:18:53
03962,4454,2023-10-13 17:19:43
03963,4455,2023-10-13 17:20:38
03964,4456,2023-10-13 17:21:34
03965,4457,2023-10-13 17:22:32
03966,4458,2023-10-13 17:23:23
03967,4459,2023-10-13 17:24:17
03968,4460,2023-10-13 17:25:13
03969,4461,2023-10-13 17:26:08
03970,4462,2023-10-13 17:27:03
03971,4463,2023-10-13 17:27:59
03972,4464,2023-10-13 17:28:53
03973,4465,2023-10-13 17:29:49
03974,4466,2023-10-13 17:30:43
03975,4467,2023-10-13 17:31:42
03976,4468,2023-10-13 17:32:33
03977,4469,2023-10-13 17:33:29
03978,4470,2023-10-13 17:34:24
03979,4471,2023-10-13 17:35:19
03980,4472,2023-10-13 17:36:14
03981,4473,2023-10-13 17:37:09
03982,4474,2023-10-13 17:38:06
03983,4475,2023-10-13 17:39:00
03984,4476,2023-10-13 17:39:55
03985,4477,2023-10-13 17:40:49
03986,4478,2023-10-13 17:41:44
03988,4479,2023-10-13 17:42:39
03989,4480,2023-10-13 17:43:34
03990,4481,2023-10-13 17:44:30
03991,4482,2023-10-13 17:45:24
03992,4483,2023-10-13 17:46:20
03993,4484,2023-10-13 17:47:15
03994,4485,2023-10-13 17:48:10
03995,4486,2023-10-13 17:49:05
03996,4487,2023-10-13 17:50:02
03997,4488,2023-10-13 17:50:54
03998,4489,2023-10-13 17:51:53
03999,4490,2023-10-13 17:52:44
04000,4491,2023-10-13 17:53:39
04001,4492,2023-10-13 17:54:33
04002,4493,2023-10-13 17:55:29
04003,4494,2023-10-13 17:56:24
04004,4495,2023-10-13 17:57:19
04005,4496,2023-10-13 17:58:13
04006,4497,2023-10-13 17:59:15
04007,4498,2023-10-13 18:00:06
04008,4499,2023-10-13 18:01:04
04009,4500,2023-10-13 18:01:53
04010,4501,2023-10-13 18:02:49
04011,4502,2023-10-13 18:03:43
04012,4503,2023-10-13 18:04:38
04013,4504,2023-10-13 18:05:34
04014,4505,2023-10-13 18:06:29
04015,4506,2023-10-13 18:07:24
04016,4507,2023-10-13 18:08:20
04017,4508,2023-10-13 18:09:15
04018,4509,2023-10-13 18:10:11
04019,4510,2023-10-13 18:11:04
04020,4511,2023-10-13 18:12:00
04022,4512,2023-10-13 18:12:55
04023,4513,2023-10-13 18:13:50
04024,4514,2023-10-13 18:14:47
04025,4515,2023-10-13 18:15:40
04026,4516,2023-10-13 18:16:37
04027,4517,2023-10-13 18:17:30
04028,4518,2023-10-13 18:18:26
04029,4519,2023-10-13 18:19:20
