distiller_id,scan_number,datetime
02209,2709,2023-10-13 09:45:14
02210,2710,2023-10-13 09:45:18
02211,2711,2023-10-13 09:45:23
02212,2712,2023-10-13 09:45:28
02213,2713,2023-10-13 09:45:33
02214,2714,2023-10-13 09:45:38
02215,2715,2023-10-13 09:45:43
02216,2716,2023-10-13 09:45:48
02217,2717,2023-10-13 09:45:53
02218,2718,2023-10-13 09:45:58
02219,2719,2023-10-13 09:46:03
02220,2720,2023-10-13 09:46:08
02221,2721,2023-10-13 09:46:13
02222,2722,2023-10-13 09:46:18
02223,2723,2023-10-13 09:46:23
02224,2724,2023-10-13 09:46:28
02225,2725,2023-10-13 09:46:33
02226,2726,2023-10-13 09:46:38
02227,2727,2023-10-13 09:46:43
02228,2728,2023-10-13 09:46:48
02229,2729,2023-10-13 09:46:53
02230,2730,2023-10-13 09:46:58
02231,2731,2023-10-13 09:47:03
02232,2732,2023-10-13 09:47:08
02233,2733,2023-10-13 09:47:13
02234,2734,2023-10-13 09:47:18
02235,2735,2023-10-13 09:47:23
02236,2736,2023-10-13 09:47:28
02237,2737,2023-10-13 09:47:33
02238,2738,2023-10-13 09:47:38
02239,2739,2023-10-13 09:47:43
02240,2740,2023-10-13 09:47:49
02241,2741,2023-10-13 09:47:54
02242,2742,2023-10-13 09:47:59
02243,2743,2023-10-13 09:48:04
02244,2744,2023-10-13 09:48:09
02245,2745,2023-10-13 09:48:13
02246,2746,2023-10-13 09:48:18
02247,2747,2023-10-13 09:48:23
02248,2748,2023-10-13 09:48:28
02249,2749,2023-10-13 09:48:33
02250,2750,2023-10-13 09:48:38
02251,2751,2023-10-13 09:48:43
02252,2752,2023-10-13 09:48:49
02253,2753,2023-10-13 09:48:53
02254,2754,2023-10-13 09:48:58
02255,2755,2023-10-13 09:49:03
02256,2756,2023-10-13 09:49:08
02257,2757,2023-10-13 09:49:13
02258,2758,2023-10-13 09:49:18
02259,2759,2023-10-13 09:49:24
02260,2760,2023-10-13 09:49:28
02261,2761,2023-10-13 09:49:33
02262,2762,2023-10-13 09:49:38
02263,2763,2023-10-13 09:49:44
02264,2764,2023-10-13 09:49:49
02265,2765,2023-10-13 09:49:53
02266,2766,2023-10-13 09:49:59
02267,2767,2023-10-13 09:50:03
02268,2768,2023-10-13 09:50:08
02269,2769,2023-10-13 09:50:13
02270,2770,2023-10-13 09:50:18
02271,2771,2023-10-13 09:50:23
02272,2772,2023-10-13 09:50:29
02273,2773,2023-10-13 09:50:33
02274,2774,2023-10-13 09:50:39
02275,2775,2023-10-13 09:50:44
02276,2776,2023-10-13 09:50:48
02277,2777,2023-10-13 09:50:53
02278,2778,2023-10-13 09:50:59
02279,2779,2023-10-13 09:51:04
02280,2780,2023-10-13 09:51:08
02281,2781,2023-10-13 09:51:14
02282,2782,2023-10-13 09:51:19
02283,2783,2023-10-13 09:51:24
02284,2784,2023-10-13 09:51:29
02285,2785,2023-10-13 09:51:34
02286,2786,2023-10-13 09:51:39
02287,2787,2023-10-13 09:51:44
02288,2788,2023-10-13 09:51:48
02289,2789,2023-10-13 09:51:54
02290,2790,2023-10-13 09:51:58
02291,2791,2023-10-13 09:52:04
02292,2792,2023-10-13 09:52:09
02293,2793,2023-10-13 09:52:14
02294,2794,2023-10-13 09:52:19
02295,2795,2023-10-13 09:52:24
02296,2796,2023-10-13 09:52:29
02297,2797,2023-10-13 09:52:33
02298,2798,2023-10-13 09:52:39
02299,2799,2023-10-13 09:52:44
02300,2800,2023-10-13 09:52:49
02301,2801,2023-10-13 09:52:54
02302,2802,2023-10-13 09:52:59
02303,2803,2023-10-13 09:53:04
02304,2804,2023-10-13 09:53:09
02305,2805,2023-10-13 09:53:14
02306,2806,2023-10-13 09:53:19
02307,2807,2023-10-13 09:53:24
02308,2808,2023-10-13 09:53:29
02309,2809,2023-10-13 09:53:34
02310,2810,2023-10-13 09:53:39
02311,2811,2023-10-13 09:53:44
02312,2812,2023-10-13 09:53:49
02313,2813,2023-10-13 09:53:54
02314,2814,2023-10-13 09:53:59
02315,2815,2023-10-13 09:54:04
02316,2816,2023-10-13 09:54:09
02317,2817,2023-10-13 09:54:14
02318,2818,2023-10-13 09:54:19
02319,2819,2023-10-13 09:54:24
02320,2820,2023-10-13 09:54:29
02321,2821,2023-10-13 09:54:34
02322,2822,2023-10-13 09:54:39
02323,2823,2023-10-13 09:54:44
02324,2824,2023-10-13 09:54:49
02325,2825,2023-10-13 09:54:54
02326,2826,2023-10-13 09:54:59
02327,2827,2023-10-13 09:55:04
02328,2828,2023-10-13 09:55:09
02329,2829,2023-10-13 09:55:14
02330,2830,2023-10-13 09:55:19
02331,2831,2023-10-13 09:55:24
02332,2832,2023-10-13 09:55:29
02333,2833,2023-10-13 09:55:34
02334,2834,2023-10-13 09:55:39
02335,2835,2023-10-13 09:55:44
02336,2836,2023-10-13 09:55:49
02337,2837,2023-10-13 09:55:54
02338,2838,2023-10-13 09:55:59
02339,2839,2023-10-13 09:56:04
02340,2840,2023-10-13 09:56:09
02341,2841,2023-10-13 09:56:14
02342,2842,2023-10-13 09:56:19
02343,2843,2023-10-13 09:56:24
02344,2844,2023-10-13 09:56:29
02345,2845,2023-10-13 09:56:34
02346,2846,2023-10-13 09:56:39
02347,2847,2023-10-13 09:56:44
02348,2848,2023-10-13 09:56:49
02349,2849,2023-10-13 09:56:54
02350,2850,2023-10-13 09:56:59
02351,2851,2023-10-13 09:57:05
02352,2852,2023-10-13 09:57:09
02353,2853,2023-10-13 09:57:14
02354,2854,2023-10-13 09:57:19
02355,2855,2023-10-13 09:57:24
02356,2856,2023-10-13 09:57:29
02357,2857,2023-10-13 09:57:34
