scan_number,time0,time1,time2,time3
2060,2023-10-13T15:35:23+00:00,2023-10-13T15:32:36+00:00,2023-10-13T15:30:29+00:00,2023-10-13T15:37:44+00:00
2061,2023-10-13T15:35:28+00:00,2023-10-13T15:32:41+00:00,2023-10-13T15:30:34+00:00,2023-10-13T15:37:49+00:00
2062,2023-10-13T15:35:33+00:00,2023-10-13T15:32:46+00:00,2023-10-13T15:30:39+00:00,2023-10-13T15:37:54+00:00
2063,2023-10-13T15:35:38+00:00,2023-10-13T15:32:51+00:00,2023-10-13T15:30:44+00:00,2023-10-13T15:37:59+00:00
2064,2023-10-13T15:35:43+00:00,2023-10-13T15:32:56+00:00,2023-10-13T15:30:49+00:00,2023-10-13T15:38:04+00:00
2065,2023-10-13T15:35:48+00:00,2023-10-13T15:33:01+00:00,2023-10-13T15:30:55+00:00,2023-10-13T15:38:09+00:00
2066,2023-10-13T15:35:53+00:00,2023-10-13T15:33:06+00:00,2023-10-13T15:30:59+00:00,2023-10-13T15:38:14+00:00
2067,2023-10-13T15:35:58+00:00,2023-10-13T15:33:11+00:00,2023-10-13T15:31:04+00:00,2023-10-13T15:38:19+00:00
2068,2023-10-13T15:36:03+00:00,2023-10-13T15:33:16+00:00,2023-10-13T15:31:10+00:00,2023-10-13T15:38:24+00:00
2069,2023-10-13T15:36:08+00:00,2023-10-13T15:33:21+00:00,2023-10-13T15:31:15+00:00,2023-10-13T15:38:29+00:00
2070,2023-10-13T15:36:13+00:00,2023-10-13T15:33:26+00:00,2023-10-13T15:31:19+00:00,2023-10-13T15:38:34+00:00
2071,2023-10-13T15:36:18+00:00,2023-10-13T15:33:31+00:00,2023-10-13T15:31:24+00:00,2023-10-13T15:38:39+00:00
2072,2023-10-13T15:36:23+00:00,2023-10-13T15:33:36+00:00,2023-10-13T15:31:30+00:00,2023-10-13T15:38:44+00:00
2073,2023-10-13T15:36:28+00:00,2023-10-13T15:33:41+00:00,2023-10-13T15:31:34+00:00,2023-10-13T15:38:49+00:00
2074,2023-10-13T15:36:33+00:00,2023-10-13T15:33:46+00:00,2023-10-13T15:31:39+00:00,2023-10-13T15:38:54+00:00
2075,2023-10-13T15:36:38+00:00,2023-10-13T15:33:51+00:00,2023-10-13T15:31:44+00:00,2023-10-13T15:38:59+00:00
2076,2023-10-13T15:36:43+00:00,2023-10-13T15:33:56+00:00,2023-10-13T15:31:50+00:00,2023-10-13T15:39:04+00:00
2077,2023-10-13T15:36:48+00:00,2023-10-13T15:34:01+00:00,2023-10-13T15:31:55+00:00,2023-10-13T15:39:09+00:00
2078,2023-10-13T15:36:53+00:00,2023-10-13T15:34:06+00:00,2023-10-13T15:32:00+00:00,2023-10-13T15:39:14+00:00
2079,2023-10-13T15:36:58+00:00,2023-10-13T15:34:11+00:00,2023-10-13T15:32:05+00:00,2023-10-13T15:39:19+00:00
2080,2023-10-13T15:37:03+00:00,2023-10-13T15:34:16+00:00,2023-10-13T15:32:10+00:00,2023-10-13T15:39:24+00:00
2081,2023-10-13T15:37:08+00:00,2023-10-13T15:34:21+00:00,2023-10-13T15:32:15+00:00,2023-10-13T15:39:29+00:00
2082,2023-10-13T15:37:13+00:00,2023-10-13T15:34:26+00:00,2023-10-13T15:32:20+00:00,2023-10-13T15:39:34+00:00
2083,2023-10-13T15:37:18+00:00,2023-10-13T15:34:31+00:00,2023-10-13T15:32:25+00:00,2023-10-13T15:39:39+00:00
2084,2023-10-13T15:37:23+00:00,2023-10-13T15:34:36+00:00,2023-10-13T15:32:30+00:00,2023-10-13T15:39:44+00:00
2085,2023-10-13T15:37:28+00:00,2023-10-13T15:34:41+00:00,2023-10-13T15:32:35+00:00,2023-10-13T15:39:49+00:00
2086,2023-10-13T15:37:33+00:00,2023-10-13T15:34:46+00:00,2023-10-13T15:32:40+00:00,2023-10-13T15:39:54+00:00
2087,2023-10-13T15:37:38+00:00,2023-10-13T15:34:51+00:00,2023-10-13T15:32:45+00:00,2023-10-13T15:39:59+00:00
2088,2023-10-13T15:37:43+00:00,2023-10-13T15:34:56+00:00,2023-10-13T15:32:50+00:00,2023-10-13T15:40:04+00:00
2089,2023-10-13T15:37:48+00:00,2023-10-13T15:35:01+00:00,2023-10-13T15:32:55+00:00,2023-10-13T15:40:09+00:00
2090,2023-10-13T15:37:53+00:00,2023-10-13T15:35:06+00:00,2023-10-13T15:33:00+00:00,2023-10-13T15:40:14+00:00
2091,2023-10-13T15:37:58+00:00,2023-10-13T15:35:11+00:00,2023-10-13T15:33:05+00:00,2023-10-13T15:40:19+00:00
2092,2023-10-13T15:38:03+00:00,2023-10-13T15:35:16+00:00,2023-10-13T15:33:10+00:00,2023-10-13T15:40:24+00:00
2093,2023-10-13T15:38:08+00:00,2023-10-13T15:35:21+00:00,2023-10-13T15:33:15+00:00,2023-10-13T15:40:29+00:00
2094,2023-10-13T15:38:13+00:00,2023-10-13T15:35:26+00:00,2023-10-13T15:33:20+00:00,2023-10-13T15:40:34+00:00
2095,2023-10-13T15:38:18+00:00,2023-10-13T15:35:31+00:00,2023-10-13T15:33:25+00:00,2023-10-13T15:40:39+00:00
2096,2023-10-13T15:38:23+00:00,2023-10-13T15:35:36+00:00,2023-10-13T15:33:30+00:00,2023-10-13T15:40:44+00:00
2097,2023-10-13T15:38:28+00:00,2023-10-13T15:35:41+00:00,2023-10-13T15:33:35+00:00,2023-10-13T15:40:49+00:00
2098,2023-10-13T15:38:33+00:00,2023-10-13T15:35:46+00:00,2023-10-13T15:33:40+00:00,2023-10-13T15:40:54+00:00
