scan_number,time0,time1,time2,time3
2464,2023-10-13T16:09:07+00:00,2023-10-13T16:06:20+00:00,2023-10-13T16:04:13+00:00,2023-10-13T16:11:28+00:00
2465,2023-10-13T16:09:12+00:00,2023-10-13T16:06:25+00:00,2023-10-13T16:04:18+00:00,2023-10-13T16:11:33+00:00
2466,2023-10-13T16:09:17+00:00,2023-10-13T16:06:30+00:00,2023-10-13T16:04:23+00:00,2023-10-13T16:11:38+00:00
2467,2023-10-13T16:09:22+00:00,2023-10-13T16:06:35+00:00,2023-10-13T16:04:28+00:00,2023-10-13T16:11:43+00:00
2468,2023-10-13T16:09:27+00:00,2023-10-13T16:06:40+00:00,2023-10-13T16:04:38+00:00,2023-10-13T16:11:48+00:00
2469,2023-10-13T16:09:32+00:00,2023-10-13T16:06:45+00:00,2023-10-13T16:04:38+00:00,2023-10-13T16:11:53+00:00
2470,2023-10-13T16:09:37+00:00,2023-10-13T16:06:50+00:00,2023-10-13T16:04:43+00:00,2023-10-13T16:11:58+00:00
2471,2023-10-13T16:09:42+00:00,2023-10-13T16:06:55+00:00,2023-10-13T16:04:49+00:00,2023-10-13T16:12:03+00:00
2472,2023-10-13T16:09:47+00:00,2023-10-13T16:07:00+00:00,2023-10-13T16:04:54+00:00,2023-10-13T16:12:08+00:00
2473,2023-10-13T16:09:52+00:00,2023-10-13T16:07:05+00:00,2023-10-13T16:04:59+00:00,2023-10-13T16:12:13+00:00
2474,2023-10-13T16:09:57+00:00,2023-10-13T16:07:10+00:00,2023-10-13T16:05:04+00:00,2023-10-13T16:12:18+00:00
2475,2023-10-13T16:10:02+00:00,2023-10-13T16:07:15+00:00,2023-10-13T16:05:08+00:00,2023-10-13T16:12:23+00:00
2476,2023-10-13T16:10:07+00:00,2023-10-13T16:07:20+00:00,2023-10-13T16:05:14+00:00,2023-10-13T16:12:28+00:00
2477,2023-10-13T16:10:12+00:00,2023-10-13T16:07:25+00:00,2023-10-13T16:05:19+00:00,2023-10-13T16:12:33+00:00
2478,2023-10-13T16:10:17+00:00,2023-10-13T16:07:30+00:00,2023-10-13T16:05:24+00:00,2023-10-13T16:12:38+00:00
2479,2023-10-13T16:10:22+00:00,2023-10-13T16:07:35+00:00,2023-10-13T16:05:29+00:00,2023-10-13T16:12:43+00:00
2480,2023-10-13T16:10:27+00:00,2023-10-13T16:07:40+00:00,2023-10-13T16:05:34+00:00,2023-10-13T16:12:48+00:00
2481,2023-10-13T16:10:32+00:00,2023-10-13T16:07:45+00:00,2023-10-13T16:05:39+00:00,2023-10-13T16:12:53+00:00
2482,2023-10-13T16:10:37+00:00,2023-10-13T16:07:50+00:00,2023-10-13T16:05:44+00:00,2023-10-13T16:12:58+00:00
2483,2023-10-13T16:10:42+00:00,2023-10-13T16:07:55+00:00,2023-10-13T16:05:49+00:00,2023-10-13T16:13:03+00:00
2484,2023-10-13T16:10:47+00:00,2023-10-13T16:08:00+00:00,2023-10-13T16:05:54+00:00,2023-10-13T16:13:08+00:00
2485,2023-10-13T16:10:52+00:00,2023-10-13T16:08:05+00:00,2023-10-13T16:05:59+00:00,2023-10-13T16:13:13+00:00
2486,2023-10-13T16:10:57+00:00,2023-10-13T16:08:10+00:00,2023-10-13T16:06:04+00:00,2023-10-13T16:13:18+00:00
2487,2023-10-13T16:11:02+00:00,2023-10-13T16:08:15+00:00,2023-10-13T16:06:09+00:00,2023-10-13T16:13:23+00:00
2488,2023-10-13T16:11:07+00:00,2023-10-13T16:08:20+00:00,2023-10-13T16:06:14+00:00,2023-10-13T16:13:28+00:00
2489,2023-10-13T16:11:12+00:00,2023-10-13T16:08:25+00:00,2023-10-13T16:06:19+00:00,2023-10-13T16:13:33+00:00
2490,2023-10-13T16:11:17+00:00,2023-10-13T16:08:30+00:00,2023-10-13T16:06:24+00:00,2023-10-13T16:13:38+00:00
2491,2023-10-13T16:11:22+00:00,2023-10-13T16:08:35+00:00,2023-10-13T16:06:29+00:00,2023-10-13T16:13:43+00:00
2492,2023-10-13T16:11:27+00:00,2023-10-13T16:08:40+00:00,2023-10-13T16:06:34+00:00,2023-10-13T16:13:48+00:00
2493,2023-10-13T16:11:32+00:00,2023-10-13T16:08:45+00:00,2023-10-13T16:06:39+00:00,2023-10-13T16:13:53+00:00
2494,2023-10-13T16:11:37+00:00,2023-10-13T16:08:50+00:00,2023-10-13T16:06:44+00:00,2023-10-13T16:13:58+00:00
2495,2023-10-13T16:11:42+00:00,2023-10-13T16:08:55+00:00,2023-10-13T16:06:49+00:00,2023-10-13T16:14:03+00:00
2496,2023-10-13T16:11:47+00:00,2023-10-13T16:09:00+00:00,2023-10-13T16:06:54+00:00,2023-10-13T16:14:08+00:00
2497,2023-10-13T16:11:52+00:00,2023-10-13T16:09:05+00:00,2023-10-13T16:06:59+00:00,2023-10-13T16:14:13+00:00
2498,2023-10-13T16:11:57+00:00,2023-10-13T16:09:10+00:00,2023-10-13T16:07:04+00:00,2023-10-13T16:14:18+00:00
2499,2023-10-13T16:12:02+00:00,2023-10-13T16:09:15+00:00,2023-10-13T16:07:09+00:00,2023-10-13T16:14:23+00:00
2500,2023-10-13T16:12:07+00:00,2023-10-13T16:09:20+00:00,2023-10-13T16:07:14+00:00,2023-10-13T16:14:28+00:00
2501,2023-10-13T16:12:12+00:00,2023-10-13T16:09:25+00:00,2023-10-13T16:07:19+00:00,2023-10-13T16:14:33+00:00
2502,2023-10-13T16:12:17+00:00,2023-10-13T16:09:30+00:00,2023-10-13T16:07:24+00:00,2023-10-13T16:14:38+00:00
2503,2023-10-13T16:12:22+00:00,2023-10-13T16:09:35+00:00,2023-10-13T16:07:29+00:00,2023-10-13T16:14:43+00:00
2504,2023-10-13T16:12:27+00:00,2023-10-13T16:09:40+00:00,2023-10-13T16:07:34+00:00,2023-10-13T16:14:48+00:00
2505,2023-10-13T16:12:32+00:00,2023-10-13T16:09:45+00:00,2023-10-13T16:07:39+00:00,2023-10-13T16:14:53+00:00
2506,2023-10-13T16:12:37+00:00,2023-10-13T16:09:50+00:00,2023-10-13T16:07:44+00:00,2023-10-13T16:14:58+00:00
2507,2023-10-13T16:12:42+00:00,2023-10-13T16:09:55+00:00,2023-10-13T16:07:49+00:00,2023-10-13T16:15:03+00:00
2508,2023-10-13T16:12:47+00:00,2023-10-13T16:10:00+00:00,2023-10-13T16:07:54+00:00,2023-10-13T16:15:08+00:00
2509,2023-10-13T16:12:52+00:00,2023-10-13T16:10:05+00:00,2023-10-13T16:07:59+00:00,2023-10-13T16:15:13+00:00
2510,2023-10-13T16:12:57+00:00,2023-10-13T16:10:10+00:00,2023-10-13T16:08:04+00:00,2023-10-13T16:15:18+00:00
2511,2023-10-13T16:13:02+00:00,2023-10-13T16:10:15+00:00,2023-10-13T16:08:09+00:00,2023-10-13T16:15:23+00:00
2512,2023-10-13T16:13:07+00:00,2023-10-13T16:10:20+00:00,2023-10-13T16:08:14+00:00,2023-10-13T16:15:28+00:00
2513,2023-10-13T16:13:12+00:00,2023-10-13T16:10:25+00:00,2023-10-13T16:08:19+00:00,2023-10-13T16:15:33+00:00
2514,2023-10-13T16:13:17+00:00,2023-10-13T16:10:30+00:00,2023-10-13T16:08:24+00:00,2023-10-13T16:15:38+00:00
2515,2023-10-13T16:13:22+00:00,2023-10-13T16:10:35+00:00,2023-10-13T16:08:29+00:00,2023-10-13T16:15:43+00:00
2516,2023-10-13T16:13:27+00:00,2023-10-13T16:10:40+00:00,2023-10-13T16:08:34+00:00,2023-10-13T16:15:48+00:00
2517,2023-10-13T16:13:32+00:00,2023-10-13T16:10:45+00:00,2023-10-13T16:08:39+00:00,2023-10-13T16:15:53+00:00
2518,2023-10-13T16:13:37+00:00,2023-10-13T16:10:50+00:00,2023-10-13T16:08:44+00:00,2023-10-13T16:15:58+00:00
2519,2023-10-13T16:13:42+00:00,2023-10-13T16:10:55+00:00,2023-10-13T16:08:49+00:00,2023-10-13T16:16:03+00:00
2520,2023-10-13T16:13:47+00:00,2023-10-13T16:11:00+00:00,2023-10-13T16:08:54+00:00,2023-10-13T16:16:08+00:00
2521,2023-10-13T16:13:52+00:00,2023-10-13T16:11:05+00:00,2023-10-13T16:08:59+00:00,2023-10-13T16:16:13+00:00
2522,2023-10-13T16:13:58+00:00,2023-10-13T16:11:10+00:00,2023-10-13T16:09:04+00:00,2023-10-13T16:16:18+00:00
2523,2023-10-13T16:14:02+00:00,2023-10-13T16:11:15+00:00,2023-10-13T16:09:09+00:00,2023-10-13T16:16:23+00:00
2524,2023-10-13T16:14:08+00:00,2023-10-13T16:11:20+00:00,2023-10-13T16:09:14+00:00,2023-10-13T16:16:28+00:00
2525,2023-10-13T16:14:12+00:00,2023-10-13T16:11:25+00:00,2023-10-13T16:09:19+00:00,2023-10-13T16:16:33+00:00
2526,2023-10-13T16:14:17+00:00,2023-10-13T16:11:30+00:00,2023-10-13T16:09:24+00:00,2023-10-13T16:16:38+00:00
2527,2023-10-13T16:14:22+00:00,2023-10-13T16:11:36+00:00,2023-10-13T16:09:29+00:00,2023-10-13T16:16:43+00:00
2528,2023-10-13T16:14:27+00:00,2023-10-13T16:11:40+00:00,2023-10-13T16:09:34+00:00,2023-10-13T16:16:48+00:00
2529,2023-10-13T16:14:33+00:00,2023-10-13T16:11:46+00:00,2023-10-13T16:09:39+00:00,2023-10-13T16:16:53+00:00
2530,2023-10-13T16:14:37+00:00,2023-10-13T16:11:50+00:00,2023-10-13T16:09:44+00:00,2023-10-13T16:16:58+00:00
2531,2023-10-13T16:14:43+00:00,2023-10-13T16:11:55+00:00,2023-10-13T16:09:49+00:00,2023-10-13T16:17:03+00:00
2532,2023-10-13T16:14:48+00:00,2023-10-13T16:12:00+00:00,2023-10-13T16:09:54+00:00,2023-10-13T16:17:08+00:00
2533,2023-10-13T16:14:53+00:00,2023-10-13T16:12:05+00:00,2023-10-13T16:09:59+00:00,2023-10-13T16:17:13+00:00
2534,2023-10-13T16:14:58+00:00,2023-10-13T16:12:11+00:00,2023-10-13T16:10:04+00:00,2023-10-13T16:17:18+00:00
2535,2023-10-13T16:15:08+00:00,2023-10-13T16:12:16+00:00,2023-10-13T16:10:09+00:00,2023-10-13T16:17:23+00:00
2536,2023-10-13T16:15:08+00:00,2023-10-13T16:12:20+00:00,2023-10-13T16:10:14+00:00,2023-10-13T16:17:28+00:00
2537,2023-10-13T16:15:13+00:00,2023-10-13T16:12:26+00:00,2023-10-13T16:10:19+00:00,2023-10-13T16:17:33+00:00
2538,2023-10-13T16:15:18+00:00,2023-10-13T16:12:30+00:00,2023-10-13T16:10:24+00:00,2023-10-13T16:17:38+00:00
2539,2023-10-13T16:15:23+00:00,2023-10-13T16:12:36+00:00,2023-10-13T16:10:29+00:00,2023-10-13T16:17:43+00:00
2540,2023-10-13T16:15:28+00:00,2023-10-13T16:12:41+00:00,2023-10-13T16:10:34+00:00,2023-10-13T16:17:49+00:00
2541,2023-10-13T16:15:33+00:00,2023-10-13T16:12:46+00:00,2023-10-13T16:10:39+00:00,2023-10-13T16:17:53+00:00
2542,2023-10-13T16:15:38+00:00,2023-10-13T16:12:51+00:00,2023-10-13T16:10:44+00:00,2023-10-13T16:17:58+00:00
2543,2023-10-13T16:15:43+00:00,2023-10-13T16:12:56+00:00,2023-10-13T16:10:49+00:00,2023-10-13T16:18:04+00:00
2544,2023-10-13T16:15:48+00:00,2023-10-13T16:13:01+00:00,2023-10-13T16:10:54+00:00,2023-10-13T16:18:09+00:00
2545,2023-10-13T16:15:53+00:00,2023-10-13T16:13:06+00:00,2023-10-13T16:10:59+00:00,2023-10-13T16:18:14+00:00
2546,2023-10-13T16:15:58+00:00,2023-10-13T16:13:11+00:00,2023-10-13T16:11:04+00:00,2023-10-13T16:18:18+00:00
2547,2023-10-13T16:16:03+00:00,2023-10-13T16:13:16+00:00,2023-10-13T16:11:09+00:00,2023-10-13T16:18:23+00:00
2548,2023-10-13T16:16:08+00:00,2023-10-13T16:13:21+00:00,2023-10-13T16:11:14+00:00,2023-10-13T16:18:28+00:00
2549,2023-10-13T16:16:13+00:00,2023-10-13T16:13:26+00:00,2023-10-13T16:11:19+00:00,2023-10-13T16:18:34+00:00
2550,2023-10-13T16:16:18+00:00,2023-10-13T16:13:31+00:00,2023-10-13T16:11:24+00:00,2023-10-13T16:18:39+00:00
2551,2023-10-13T16:16:23+00:00,2023-10-13T16:13:36+00:00,2023-10-13T16:11:29+00:00,2023-10-13T16:18:43+00:00
2552,2023-10-13T16:16:28+00:00,2023-10-13T16:13:41+00:00,2023-10-13T16:11:34+00:00,2023-10-13T16:18:49+00:00
2553,2023-10-13T16:16:33+00:00,2023-10-13T16:13:51+00:00,2023-10-13T16:11:39+00:00,2023-10-13T16:18:54+00:00
2554,2023-10-13T16:16:38+00:00,2023-10-13T16:13:51+00:00,2023-10-13T16:11:44+00:00,2023-10-13T16:18:59+00:00
2555,2023-10-13T16:16:43+00:00,2023-10-13T16:13:56+00:00,2023-10-13T16:11:49+00:00,2023-10-13T16:19:04+00:00
2556,2023-10-13T16:16:48+00:00,2023-10-13T16:14:01+00:00,2023-10-13T16:11:59+00:00,2023-10-13T16:19:09+00:00
2557,2023-10-13T16:16:53+00:00,2023-10-13T16:14:06+00:00,2023-10-13T16:11:59+00:00,2023-10-13T16:19:14+00:00
2558,2023-10-13T16:16:58+00:00,2023-10-13T16:14:11+00:00,2023-10-13T16:12:09+00:00,2023-10-13T16:19:19+00:00
2559,2023-10-13T16:17:03+00:00,2023-10-13T16:14:16+00:00,2023-10-13T16:12:09+00:00,2023-10-13T16:19:24+00:00
2560,2023-10-13T16:17:08+00:00,2023-10-13T16:14:21+00:00,2023-10-13T16:12:14+00:00,2023-10-13T16:19:29+00:00
2561,2023-10-13T16:17:13+00:00,2023-10-13T16:14:26+00:00,2023-10-13T16:12:19+00:00,2023-10-13T16:19:34+00:00
2562,2023-10-13T16:17:18+00:00,2023-10-13T16:14:31+00:00,2023-10-13T16:12:24+00:00,2023-10-13T16:19:39+00:00
2563,2023-10-13T16:17:23+00:00,2023-10-13T16:14:36+00:00,2023-10-13T16:12:34+00:00,2023-10-13T16:19:49+00:00
2564,2023-10-13T16:17:28+00:00,2023-10-13T16:14:41+00:00,2023-10-13T16:12:34+00:00,2023-10-13T16:19:49+00:00
2565,2023-10-13T16:17:33+00:00,2023-10-13T16:14:46+00:00,2023-10-13T16:12:39+00:00,2023-10-13T16:19:54+00:00
2566,2023-10-13T16:17:38+00:00,2023-10-13T16:14:51+00:00,2023-10-13T16:12:49+00:00,2023-10-13T16:20:04+00:00
2567,2023-10-13T16:17:43+00:00,2023-10-13T16:14:56+00:00,2023-10-13T16:12:49+00:00,2023-10-13T16:20:04+00:00
2568,2023-10-13T16:17:48+00:00,2023-10-13T16:15:01+00:00,2023-10-13T16:12:54+00:00,2023-10-13T16:20:14+00:00
2569,2023-10-13T16:17:53+00:00,2023-10-13T16:15:06+00:00,2023-10-13T16:12:59+00:00,2023-10-13T16:20:19+00:00
2570,2023-10-13T16:17:58+00:00,2023-10-13T16:15:11+00:00,2023-10-13T16:13:04+00:00,2023-10-13T16:20:24+00:00
2571,2023-10-13T16:18:03+00:00,2023-10-13T16:15:16+00:00,2023-10-13T16:13:10+00:00,2023-10-13T16:20:29+00:00
2572,2023-10-13T16:18:08+00:00,2023-10-13T16:15:21+00:00,2023-10-13T16:13:14+00:00,2023-10-13T16:20:29+00:00
2573,2023-10-13T16:18:13+00:00,2023-10-13T16:15:26+00:00,2023-10-13T16:13:24+00:00,2023-10-13T16:20:34+00:00
2574,2023-10-13T16:18:18+00:00,2023-10-13T16:15:31+00:00,2023-10-13T16:13:24+00:00,2023-10-13T16:20:44+00:00
2575,2023-10-13T16:18:23+00:00,2023-10-13T16:15:36+00:00,2023-10-13T16:13:29+00:00,2023-10-13T16:20:44+00:00
2576,2023-10-13T16:18:28+00:00,2023-10-13T16:15:41+00:00,2023-10-13T16:13:34+00:00,2023-10-13T16:20:49+00:00
2577,2023-10-13T16:18:33+00:00,2023-10-13T16:15:46+00:00,2023-10-13T16:13:40+00:00,2023-10-13T16:20:54+00:00
2578,2023-10-13T16:18:38+00:00,2023-10-13T16:15:51+00:00,2023-10-13T16:13:45+00:00,2023-10-13T16:20:59+00:00
2579,2023-10-13T16:18:43+00:00,2023-10-13T16:15:56+00:00,2023-10-13T16:13:49+00:00,2023-10-13T16:21:04+00:00
2580,2023-10-13T16:18:48+00:00,2023-10-13T16:16:01+00:00,2023-10-13T16:13:55+00:00,2023-10-13T16:21:09+00:00
2581,2023-10-13T16:18:53+00:00,2023-10-13T16:16:06+00:00,2023-10-13T16:13:59+00:00,2023-10-13T16:21:14+00:00
2582,2023-10-13T16:18:58+00:00,2023-10-13T16:16:11+00:00,2023-10-13T16:14:05+00:00,2023-10-13T16:21:19+00:00
2583,2023-10-13T16:19:03+00:00,2023-10-13T16:16:16+00:00,2023-10-13T16:14:10+00:00,2023-10-13T16:21:24+00:00
2584,2023-10-13T16:19:08+00:00,2023-10-13T16:16:21+00:00,2023-10-13T16:14:14+00:00,2023-10-13T16:21:29+00:00
2585,2023-10-13T16:19:13+00:00,2023-10-13T16:16:26+00:00,2023-10-13T16:14:20+00:00,2023-10-13T16:21:34+00:00
2586,2023-10-13T16:19:18+00:00,2023-10-13T16:16:31+00:00,2023-10-13T16:14:25+00:00,2023-10-13T16:21:39+00:00
2587,2023-10-13T16:19:23+00:00,2023-10-13T16:16:36+00:00,2023-10-13T16:14:30+00:00,2023-10-13T16:21:44+00:00
2588,2023-10-13T16:19:28+00:00,2023-10-13T16:16:41+00:00,2023-10-13T16:14:35+00:00,2023-10-13T16:21:49+00:00
2589,2023-10-13T16:19:33+00:00,2023-10-13T16:16:46+00:00,2023-10-13T16:14:40+00:00,2023-10-13T16:21:54+00:00
2590,2023-10-13T16:19:38+00:00,2023-10-13T16:16:51+00:00,2023-10-13T16:14:45+00:00,2023-10-13T16:21:59+00:00
2591,2023-10-13T16:19:43+00:00,2023-10-13T16:16:56+00:00,2023-10-13T16:14:50+00:00,2023-10-13T16:22:04+00:00
2592,2023-10-13T16:19:48+00:00,2023-10-13T16:17:01+00:00,2023-10-13T16:14:55+00:00,2023-10-13T16:22:09+00:00
2593,2023-10-13T16:19:53+00:00,2023-10-13T16:17:06+00:00,2023-10-13T16:15:00+00:00,2023-10-13T16:22:14+00:00
2594,2023-10-13T16:19:58+00:00,2023-10-13T16:17:11+00:00,2023-10-13T16:15:05+00:00,2023-10-13T16:22:19+00:00
2595,2023-10-13T16:20:03+00:00,2023-10-13T16:17:16+00:00,2023-10-13T16:15:10+00:00,2023-10-13T16:22:24+00:00
2596,2023-10-13T16:20:08+00:00,2023-10-13T16:17:21+00:00,2023-10-13T16:15:15+00:00,2023-10-13T16:22:29+00:00
2597,2023-10-13T16:20:13+00:00,2023-10-13T16:17:26+00:00,2023-10-13T16:15:20+00:00,2023-10-13T16:22:34+00:00
2598,2023-10-13T16:20:18+00:00,2023-10-13T16:17:31+00:00,2023-10-13T16:15:25+00:00,2023-10-13T16:22:39+00:00
2599,2023-10-13T16:20:23+00:00,2023-10-13T16:17:36+00:00,2023-10-13T16:15:30+00:00,2023-10-13T16:22:44+00:00
2600,2023-10-13T16:20:28+00:00,2023-10-13T16:17:41+00:00,2023-10-13T16:15:35+00:00,2023-10-13T16:28:53+00:00
2601,2023-10-13T16:20:33+00:00,2023-10-13T16:17:46+00:00,2023-10-13T16:15:40+00:00,2023-10-13T16:28:58+00:00
2602,2023-10-13T16:20:38+00:00,2023-10-13T16:17:51+00:00,2023-10-13T16:15:45+00:00,2023-10-13T16:29:03+00:00
2603,2023-10-13T16:20:43+00:00,2023-10-13T16:17:56+00:00,2023-10-13T16:15:50+00:00,2023-10-13T16:29:08+00:00
2604,2023-10-13T16:20:48+00:00,2023-10-13T16:18:01+00:00,2023-10-13T16:15:55+00:00,2023-10-13T16:29:13+00:00
2605,2023-10-13T16:20:53+00:00,2023-10-13T16:18:06+00:00,2023-10-13T16:16:00+00:00,2023-10-13T16:29:18+00:00
2606,2023-10-13T16:20:58+00:00,2023-10-13T16:18:11+00:00,2023-10-13T16:16:05+00:00,2023-10-13T16:29:23+00:00
2607,2023-10-13T16:21:03+00:00,2023-10-13T16:18:16+00:00,2023-10-13T16:16:10+00:00,2023-10-13T16:29:28+00:00
2608,2023-10-13T16:21:08+00:00,2023-10-13T16:18:21+00:00,2023-10-13T16:16:15+00:00,2023-10-13T16:29:33+00:00
2609,2023-10-13T16:21:13+00:00,2023-10-13T16:18:26+00:00,2023-10-13T16:16:20+00:00,2023-10-13T16:29:38+00:00
2610,2023-10-13T16:21:18+00:00,2023-10-13T16:18:31+00:00,2023-10-13T16:16:25+00:00,2023-10-13T16:29:43+00:00
2611,2023-10-13T16:21:23+00:00,2023-10-13T16:18:36+00:00,2023-10-13T16:16:30+00:00,2023-10-13T16:29:48+00:00
2612,2023-10-13T16:21:28+00:00,2023-10-13T16:18:41+00:00,2023-10-13T16:16:35+00:00,2023-10-13T16:29:53+00:00
2613,2023-10-13T16:21:33+00:00,2023-10-13T16:18:46+00:00,2023-10-13T16:16:40+00:00,2023-10-13T16:29:58+00:00
2614,2023-10-13T16:21:38+00:00,2023-10-13T16:18:51+00:00,2023-10-13T16:16:45+00:00,2023-10-13T16:30:03+00:00
2615,2023-10-13T16:21:43+00:00,2023-10-13T16:18:56+00:00,2023-10-13T16:16:50+00:00,2023-10-13T16:30:08+00:00
2616,2023-10-13T16:21:48+00:00,2023-10-13T16:19:01+00:00,2023-10-13T16:16:55+00:00,2023-10-13T16:30:14+00:00
2617,2023-10-13T16:21:53+00:00,2023-10-13T16:19:06+00:00,2023-10-13T16:17:00+00:00,2023-10-13T16:30:18+00:00
2618,2023-10-13T16:21:58+00:00,2023-10-13T16:19:11+00:00,2023-10-13T16:17:05+00:00,2023-10-13T16:30:24+00:00
2619,2023-10-13T16:22:03+00:00,2023-10-13T16:19:16+00:00,2023-10-13T16:17:10+00:00,2023-10-13T16:30:28+00:00
2620,2023-10-13T16:22:13+00:00,2023-10-13T16:19:21+00:00,2023-10-13T16:17:15+00:00,2023-10-13T16:30:33+00:00
2621,2023-10-13T16:22:13+00:00,2023-10-13T16:19:26+00:00,2023-10-13T16:17:20+00:00,2023-10-13T16:30:39+00:00
2622,2023-10-13T16:22:18+00:00,2023-10-13T16:19:31+00:00,2023-10-13T16:17:25+00:00,2023-10-13T16:30:44+00:00
2623,2023-10-13T16:22:23+00:00,2023-10-13T16:19:36+00:00,2023-10-13T16:17:30+00:00,2023-10-13T16:30:49+00:00
2624,2023-10-13T16:22:28+00:00,2023-10-13T16:19:41+00:00,2023-10-13T16:17:35+00:00,2023-10-13T16:30:53+00:00
2625,2023-10-13T16:22:33+00:00,2023-10-13T16:19:46+00:00,2023-10-13T16:17:40+00:00,2023-10-13T16:30:58+00:00
2626,2023-10-13T16:22:38+00:00,2023-10-13T16:19:51+00:00,2023-10-13T16:17:45+00:00,2023-10-13T16:31:04+00:00
2627,2023-10-13T16:22:48+00:00,2023-10-13T16:19:56+00:00,2023-10-13T16:17:50+00:00,2023-10-13T16:31:09+00:00
2628,2023-10-13T16:22:48+00:00,2023-10-13T16:20:01+00:00,2023-10-13T16:17:55+00:00,2023-10-13T16:31:14+00:00
2629,2023-10-13T16:22:53+00:00,2023-10-13T16:20:06+00:00,2023-10-13T16:18:00+00:00,2023-10-13T16:31:19+00:00
2630,2023-10-13T16:22:58+00:00,2023-10-13T16:20:11+00:00,2023-10-13T16:18:05+00:00,2023-10-13T16:31:24+00:00
2631,2023-10-13T16:23:04+00:00,2023-10-13T16:20:16+00:00,2023-10-13T16:18:10+00:00,2023-10-13T16:31:29+00:00
2632,2023-10-13T16:23:09+00:00,2023-10-13T16:20:21+00:00,2023-10-13T16:18:15+00:00,2023-10-13T16:31:34+00:00
2633,2023-10-13T16:23:13+00:00,2023-10-13T16:20:26+00:00,2023-10-13T16:18:20+00:00,2023-10-13T16:31:39+00:00
2634,2023-10-13T16:23:19+00:00,2023-10-13T16:20:31+00:00,2023-10-13T16:18:25+00:00,2023-10-13T16:31:44+00:00
2635,2023-10-13T16:23:24+00:00,2023-10-13T16:20:36+00:00,2023-10-13T16:18:30+00:00,2023-10-13T16:31:49+00:00
2636,2023-10-13T16:23:28+00:00,2023-10-13T16:20:41+00:00,2023-10-13T16:18:35+00:00,2023-10-13T16:31:54+00:00
2637,2023-10-13T16:23:34+00:00,2023-10-13T16:20:46+00:00,2023-10-13T16:18:40+00:00,2023-10-13T16:31:59+00:00
2638,2023-10-13T16:23:39+00:00,2023-10-13T16:20:52+00:00,2023-10-13T16:18:45+00:00,2023-10-13T16:32:04+00:00
2639,2023-10-13T16:23:44+00:00,2023-10-13T16:20:56+00:00,2023-10-13T16:18:50+00:00,2023-10-13T16:32:09+00:00
2640,2023-10-13T16:23:49+00:00,2023-10-13T16:21:02+00:00,2023-10-13T16:18:55+00:00,2023-10-13T16:32:14+00:00
2641,2023-10-13T16:23:54+00:00,2023-10-13T16:21:06+00:00,2023-10-13T16:19:00+00:00,2023-10-13T16:32:19+00:00
2642,2023-10-13T16:23:59+00:00,2023-10-13T16:21:12+00:00,2023-10-13T16:19:05+00:00,2023-10-13T16:32:24+00:00
2643,2023-10-13T16:24:04+00:00,2023-10-13T16:21:17+00:00,2023-10-13T16:19:10+00:00,2023-10-13T16:32:29+00:00
2644,2023-10-13T16:24:09+00:00,2023-10-13T16:21:22+00:00,2023-10-13T16:19:15+00:00,2023-10-13T16:32:34+00:00
2645,2023-10-13T16:24:14+00:00,2023-10-13T16:21:26+00:00,2023-10-13T16:19:20+00:00,2023-10-13T16:32:39+00:00
2646,2023-10-13T16:24:19+00:00,2023-10-13T16:21:32+00:00,2023-10-13T16:19:25+00:00,2023-10-13T16:32:44+00:00
2647,2023-10-13T16:24:24+00:00,2023-10-13T16:21:37+00:00,2023-10-13T16:19:30+00:00,2023-10-13T16:32:49+00:00
2648,2023-10-13T16:24:29+00:00,2023-10-13T16:21:42+00:00,2023-10-13T16:19:35+00:00,2023-10-13T16:32:54+00:00
2649,2023-10-13T16:24:34+00:00,2023-10-13T16:21:47+00:00,2023-10-13T16:19:40+00:00,2023-10-13T16:32:59+00:00
2650,2023-10-13T16:24:39+00:00,2023-10-13T16:21:52+00:00,2023-10-13T16:33:04+00:00,2023-10-13T16:33:04+00:00
2651,2023-10-13T16:24:44+00:00,2023-10-13T16:21:57+00:00,2023-10-13T16:33:09+00:00,2023-10-13T16:33:09+00:00
2652,2023-10-13T16:24:49+00:00,2023-10-13T16:22:02+00:00,2023-10-13T16:33:14+00:00,2023-10-13T16:33:14+00:00
2653,2023-10-13T16:24:54+00:00,2023-10-13T16:22:07+00:00,2023-10-13T16:33:19+00:00,2023-10-13T16:33:20+00:00
2654,2023-10-13T16:24:59+00:00,2023-10-13T16:22:12+00:00,2023-10-13T16:33:24+00:00,2023-10-13T16:33:24+00:00
2655,2023-10-13T16:25:04+00:00,2023-10-13T16:22:17+00:00,2023-10-13T16:33:29+00:00,2023-10-13T16:33:30+00:00
2656,2023-10-13T16:25:09+00:00,2023-10-13T16:33:34+00:00,2023-10-13T16:33:34+00:00,2023-10-13T16:33:34+00:00
2657,2023-10-13T16:25:14+00:00,2023-10-13T16:33:44+00:00,2023-10-13T16:33:40+00:00,2023-10-13T16:33:39+00:00
2658,2023-10-13T16:25:19+00:00,2023-10-13T16:33:44+00:00,2023-10-13T16:33:44+00:00,2023-10-13T16:33:45+00:00
2659,2023-10-13T16:25:24+00:00,2023-10-13T16:33:49+00:00,2023-10-13T16:33:49+00:00,2023-10-13T16:33:49+00:00
