Size,Type,Stat,total_time,count_time,save_time
128,Real,mean,4.2387610912323,3.9144070386886596,0.25489537715911864
128,Real,std,0.060251086659656825,0.0580427134426756,0.005526558260258819
128,Blank,mean,4.002131700515747,3.9072113990783692,0.026997089385986328
128,Blank,std,0.08551156367112824,0.08348063657530697,0.001045472591989193
256,Real,mean,6.1356008303792855,5.060184604243228,0.9913509268509714
256,Real,std,0.08943566847703663,0.05835100528941324,0.020389835145559324
256,Blank,mean,4.946753787994385,4.766327428817749,0.08485398292541504
256,Blank,std,0.08880620600686057,0.054962184264999464,0.003602883239675862
512,Real,mean,15.452974700927735,11.358298230171204,4.03350659608841
512,Real,std,0.620902079199635,0.6240472253915731,0.158282124730765
512,Blank,mean,10.374573564529419,9.93605079650879,0.333619213104248
512,Blank,std,0.7092474510284952,0.7355050938130758,0.004324250743590065
1024,Real,mean,55.776355350017546,38.75035353899002,16.801822543144226
1024,Real,std,3.464208854544118,3.2007721693878484,0.8851093537695767
1024,Blank,mean,36.262509965896605,34.8740159034729,1.2034113883972168
1024,Blank,std,1.18208176932241,1.180346288204573,0.006745694706700091
