scan_number,time0,time1,time2,time3,time_last_written
4765,2023-10-16T17:27:19+00:00,2023-10-16T17:27:17+00:00,2023-10-16T17:27:21+00:00,2023-10-16T17:27:21+00:00,2023-10-16T17:29:26+00:00
4766,2023-10-16T17:35:17+00:00,2023-10-16T17:35:15+00:00,2023-10-16T17:35:19+00:00,2023-10-16T17:35:20+00:00,2023-10-16T17:37:25+00:00
4767,2023-10-17T13:22:48+00:00,2023-10-17T13:22:45+00:00,2023-10-17T13:22:50+00:00,2023-10-17T13:22:51+00:00,2023-10-17T13:24:57+00:00
4768,2023-10-17T13:26:40+00:00,2023-10-17T13:26:38+00:00,2023-10-17T13:26:43+00:00,2023-10-17T13:26:43+00:00,2023-10-17T13:28:50+00:00
4769,2023-10-17T13:31:00+00:00,2023-10-17T13:30:57+00:00,2023-10-17T13:31:02+00:00,2023-10-17T13:31:03+00:00,2023-10-17T13:33:09+00:00
4770,2023-10-17T13:43:33+00:00,2023-10-17T13:43:30+00:00,2023-10-17T13:43:35+00:00,2023-10-17T13:43:36+00:00,2023-10-17T13:46:07+00:00
4771,2023-10-17T13:51:37+00:00,2023-10-17T13:51:34+00:00,2023-10-17T13:51:40+00:00,2023-10-17T13:51:40+00:00,2023-10-17T13:54:06+00:00
4772,2023-10-17T14:26:53+00:00,2023-10-17T14:26:50+00:00,2023-10-17T14:26:55+00:00,2023-10-17T14:26:55+00:00,2023-10-17T14:29:33+00:00
4773,2023-10-17T14:33:55+00:00,2023-10-17T14:33:52+00:00,2023-10-17T14:33:57+00:00,2023-10-17T14:33:58+00:00,2023-10-17T14:36:23+00:00
4774,2023-10-17T14:37:15+00:00,2023-10-17T14:37:12+00:00,2023-10-17T14:37:17+00:00,2023-10-17T14:37:18+00:00,2023-10-17T14:40:00+00:00
4775,2023-10-17T14:40:35+00:00,2023-10-17T14:40:32+00:00,2023-10-17T14:40:37+00:00,2023-10-17T14:40:38+00:00,2023-10-17T14:43:06+00:00
4776,2023-10-17T14:43:55+00:00,2023-10-17T14:43:52+00:00,2023-10-17T14:43:57+00:00,2023-10-17T14:43:58+00:00,2023-10-17T14:46:35+00:00
4777,2023-10-17T14:47:15+00:00,2023-10-17T14:47:12+00:00,2023-10-17T14:47:17+00:00,2023-10-17T14:47:18+00:00,2023-10-17T14:49:48+00:00
4778,2023-10-17T14:50:35+00:00,2023-10-17T14:50:32+00:00,2023-10-17T14:50:37+00:00,2023-10-17T14:50:38+00:00,2023-10-17T14:53:07+00:00
4779,2023-10-17T14:55:21+00:00,2023-10-17T14:55:18+00:00,2023-10-17T14:55:24+00:00,2023-10-17T14:55:24+00:00,2023-10-17T14:57:45+00:00
4780,2023-10-17T15:12:51+00:00,2023-10-17T15:16:11+00:00,2023-10-17T15:12:52+00:00,2023-10-17T15:12:51+00:00,2023-10-17T15:15:15+00:00
4781,2023-10-17T15:16:11+00:00,2023-10-17T15:16:11+00:00,2023-10-17T15:16:12+00:00,2023-10-17T15:16:11+00:00,2023-10-17T15:18:38+00:00
4782,2023-10-17T15:19:31+00:00,2023-10-17T15:19:31+00:00,2023-10-17T15:19:32+00:00,2023-10-17T15:19:31+00:00,2023-10-17T15:21:58+00:00
4783,2023-10-17T15:22:51+00:00,2023-10-17T15:22:51+00:00,2023-10-17T15:22:52+00:00,2023-10-17T15:22:51+00:00,2023-10-17T15:25:16+00:00
4784,2023-10-17T15:26:11+00:00,2023-10-17T15:26:11+00:00,2023-10-17T15:26:12+00:00,2023-10-17T15:26:11+00:00,2023-10-17T15:28:35+00:00
4785,2023-10-17T15:29:31+00:00,2023-10-17T15:29:31+00:00,2023-10-17T15:29:32+00:00,2023-10-17T15:29:31+00:00,2023-10-17T15:32:06+00:00
4786,2023-10-17T15:34:02+00:00,2023-10-17T15:34:02+00:00,2023-10-17T15:34:02+00:00,2023-10-17T15:34:02+00:00,2023-10-17T15:36:30+00:00
4787,2023-10-17T15:37:22+00:00,2023-10-17T15:37:22+00:00,2023-10-17T15:37:22+00:00,2023-10-17T15:37:22+00:00,2023-10-17T15:39:50+00:00
4788,2023-10-17T15:40:42+00:00,2023-10-17T15:40:42+00:00,2023-10-17T15:40:42+00:00,2023-10-17T15:40:42+00:00,2023-10-17T15:43:09+00:00
