id,slurm_id,elapsed
3116,61254276,00:04:54
3323,62314977,00:09:30
3124,61260668,00:05:13
3257,62113918,00:11:58
3122,61258563,00:05:39
3249,62110133,00:17:28
3228,61937984,00:00:13
3118,2765785,00:06:41
3253,62110473,00:11:47
3324,62314988,00:10:19
3123,61259622,00:06:04
3232,61938738,00:05:03
3114,61244617,00:06:00
3254,62110508,00:20:37
3249,62109886,00:02:47
3256,62110763,00:00:34
3252,62110232,00:15:54
4035,62672025,00:00:00
4013,62585177,00:10:22
4035,62654137,00:07:42
4000,62577991,00:09:55
4037,62672019,00:00:00
4037,62654345,00:05:02
4002,62579285,00:13:58
4315,62854574,00:10:42
4001,62578235,00:09:07
4010,62584047,00:12:43
4041,62672777,00:09:23
4047,62674595,00:09:58
4011,62584398,00:12:32
4042,62672857,00:09:43
4012,62585133,00:17:01
4048,62674614,00:11:31
4050,62675765,00:12:05
4051,62675780,00:11:43
4019,62587420,00:00:16
4060,62681962,00:13:27
4052,62676254,00:11:53
4018,62586938,00:10:17
4036,62672023,00:00:00
4045,62673457,00:14:03
4049,62674830,00:11:09
4053,62676276,00:12:13
4054,62679521,00:11:36
4043,62672927,00:09:46
4019,62587592,00:00:32
4020,62587736,00:00:11
4057,62680259,00:12:09
4056,62680252,00:11:48
4058,62680263,00:11:31
4019,62587746,00:10:35
4020,62587888,00:10:21
4055,62679530,00:13:37
4021,62588824,00:10:37
4061,62682607,00:11:19
4008,62583094,00:09:59
4062,62682624,00:12:14
4026,62630505,00:10:29
4009,62583874,00:10:44
4063,62682998,00:12:06
4046,62674590,00:13:18
4036,62654344,00:10:45
4044,62673102,00:10:51
4767,63078680,00:10:16
4771,63086860,00:10:22
4778,63148442,00:13:06
4775,63086923,00:20:48
4772,63086879,00:10:34
4768,63078683,00:12:56
4763,63078657,00:09:04
4773,63086898,00:13:53
4765,63078661,00:09:08
4764,63078667,00:00:10
4770,63081223,00:15:59
4766,63078676,00:10:28
4776,63086927,00:18:53
4774,63086913,00:11:13
4810,63175984,00:10:19
4777,63148439,00:12:19
4809,63171168,00:10:29
4779,63148446,00:11:13
4811,63177072,00:10:38
4812,63177083,00:08:52
4813,63177106,00:10:25
4814,63178774,00:08:55
4860,63247970,00:00:09
4864,63261449,00:12:30
4862,63248508,00:10:03
4865,63261514,00:13:25
4844,63215686,00:09:50
4856,63247101,00:10:55
4845,63215691,00:09:39
4836,63205453,00:10:33
4861,63248401,00:10:02
4870,63261664,00:09:32
4857,63247511,00:10:04
4859,63248389,00:12:06
4867,63261612,00:09:50
4858,63247918,00:10:01
4859,63247922,00:00:08
4860,63248393,00:10:47
4866,63261545,00:10:34
4871,63261688,00:09:52
4855,63244831,00:14:16
4869,63261646,00:09:40
4872,63261702,00:09:30
5618,63993025,00:07:22
5615,63992866,00:08:02
5611,63990047,00:05:36
5938,3686619,00:06:52
5614,63992369,00:05:45
5920,3686425,00:06:45
5922,3686428,00:06:36
5913,3686341,00:06:27
5931,3686614,00:06:57
5945,3687953,00:09:25
6125,64766750,00:05:48
6129,64766976,00:05:04
6130,64766978,00:05:58
6133,64768441,00:05:32
6458,4665345,00:06:57
5546,63929069,00:04:28
5548,63929462,00:03:09
5543,63915699,00:29:05
5571,63931416,00:03:27
5923,3685353,00:05:39
5596,63981008,00:08:08
5919,3686344,00:06:31
5613,63992366,00:07:02
5616,63992900,00:06:19
5926,3686503,00:05:58
5928,3686505,00:05:58
5617,63992968,00:07:39
5952,3687954,00:09:14
5957,3687957,00:09:07
5959,3687960,00:09:11
6111,64765894,00:05:36
6109,64763223,00:05:45
6112,64766150,00:00:16
6112,64766171,00:05:17
6113,64766176,00:05:02
6110,64765828,00:05:19
6114,64766199,00:04:55
6115,64766231,00:05:30
6120,64766552,00:05:01
6116,64766286,00:05:09
6119,64766531,00:05:05
6121,64766554,00:05:50
6122,64766601,00:04:59
6124,64766644,00:05:23
6126,64766845,00:05:10
6127,64766847,00:05:41
6116,64766245,00:00:09
6133,64767984,00:00:13
6117,64766283,00:05:39
6118,64766284,00:05:43
6123,64766616,00:05:32
6128,64766896,00:05:42
6131,64766982,00:05:11
6358,65695191,00:04:50
6132,64767519,00:04:56
6132,64767520,00:04:11
6356,65694179,00:05:20
6460,4665873,00:05:10
6420,65876218,00:03:43
6414,65875677,00:05:06
6453,4664954,00:03:58
6468,4667092,00:04:55
6412,65875017,00:04:23
6415,65875906,00:04:31
6424,65876318,00:04:17
6424,4657014,00:04:14
6447,4664625,00:04:22
12251,,
10712,11361112,00:04:20
10715,11365406,00:04:37
10731,11369746,00:06:20
10716,11365529,00:04:52
10724,11367183,00:05:56
10726,11367484,00:05:18
10734,11370199,00:04:36
10727,11367719,00:04:25
10741,11372326,00:04:28
10737,11371130,00:04:28
10738,11371156,00:04:32
10739,11371960,00:04:44
10744,11373114,00:04:22
10720,11366654,00:04:43
10842,12896634,00:00:10
10743,11372952,00:06:04
10714,11365168,00:04:37
10735,11370352,00:05:01
10746,11373693,00:05:11
10718,11366002,00:05:08
10745,11373731,00:04:53
10710,11360487,00:04:12
10717,11365666,00:04:33
10700,11273677,00:06:00
