id,slurm_id,elapsed
3802,62482488,00:00:56
3505,62477385,00:00:56
2058,2234110,00:01:11
3883,62498583,00:01:06
1854,57710262,00:00:28
3500,62476931,00:01:05
1909,58094109,00:00:58
1905,58094121,00:00:51
1901,58094132,00:00:51
6876,5357005,00:00:34
1908,58094114,00:00:40
1906,58094118,00:01:13
1902,58094130,00:01:08
1841,57420434,00:01:01
1842,57420440,00:00:44
1912,58227343,00:00:37
1912,58227419,00:00:45
1856,57709497,00:00:20
1854,57713917,00:00:34
6877,5357009,00:00:31
1856,57709851,00:00:44
1853,57710254,00:01:03
1839,57420059,00:00:57
1852,57710246,00:00:40
3501,62477052,00:00:54
1838,57419802,00:00:34
1840,57420356,00:00:40
1855,57710269,00:00:34
1857,57710273,00:00:38
3502,62477078,00:00:52
1838,57419629,00:00:15
2099,60535534,00:00:33
3514,62477657,00:01:35
9526,8685052,00:01:35
2163,60648107,00:00:43
2163,60647994,00:00:15
3059,60953705,00:01:07
3055,61085445,00:00:43
3057,60953714,00:00:48
3055,60953729,00:01:17
3053,60953743,00:00:28
2987,60954145,00:01:32
3055,60954201,00:00:12
2968,60946548,00:20:26
2966,60946559,00:01:22
3106,61237694,00:00:37
3349,62429690,00:01:43
3381,62448509,00:01:01
3363,62432365,00:01:01
2965,60946562,00:00:36
2963,60946576,00:05:26
3004,60946614,00:01:05
3002,60946670,00:01:01
3009,60953669,00:01:21
3051,60953759,00:01:35
3049,60953776,00:01:15
3047,60953786,00:01:09
3053,60954209,00:00:47
3106,61241681,00:00:41
3363,62432398,00:00:59
3365,62433550,00:01:00
3376,62448660,00:01:14
3367,62433807,00:00:58
3334,3090394,00:11:10
3355,62430224,00:01:06
3382,62448543,00:01:00
3361,3097351,00:04:49
3377,62448665,00:01:12
3392,62449072,00:00:56
3380,62448693,00:01:08
3386,62449032,00:00:51
3384,62449009,00:00:58
3401,62449611,00:01:05
3388,62449040,00:00:55
3390,62449069,00:00:59
3409,62449562,00:01:06
3405,62449597,00:01:06
3407,62449590,00:01:03
3397,62449629,00:01:00
3442,62450094,00:00:54
3437,62450031,00:03:36
3459,62450355,00:00:57
3454,62450895,00:01:01
3429,62449890,00:01:06
3472,62453421,00:01:03
2987,60946347,00:02:35
3106,2766821,00:01:04
2981,60946415,00:00:50
2980,60946422,00:00:45
2978,60946450,00:02:32
2977,60946457,00:01:15
2969,60946526,00:01:20
3106,61244717,00:00:41
3061,60953693,00:01:29
3063,60954140,00:00:24
3043,60954754,00:00:43
3366,62433603,00:01:01
3367,62433684,00:01:01
3371,62446934,00:00:57
3373,62447186,00:01:01
2974,60946480,00:01:05
3519,62477707,00:01:00
2964,60946568,00:01:38
3007,60946627,00:01:07
3056,60953724,00:01:12
3054,60953734,00:01:10
3052,60953752,00:01:29
3050,60953765,00:02:38
3342,62429159,00:00:58
3048,60953781,00:02:37
3046,60953797,00:01:20
3030,60955671,00:00:46
3063,60957377,00:00:45
3347,62429451,00:01:08
3367,62433813,00:00:56
3374,62447316,00:01:03
3338,62428376,00:00:59
3339,62428943,00:00:57
3391,62449070,00:01:05
3394,62449101,00:01:15
3481,62453595,00:00:57
3413,62449648,00:01:02
3447,62450860,00:01:02
3426,62449854,00:01:01
3424,62449862,00:00:56
3466,62451012,00:01:07
3430,62449908,00:05:30
3450,62450878,00:02:51
3473,62453424,00:00:51
3479,62453464,00:00:55
3476,62453438,00:00:52
3483,62455620,00:00:56
3486,62456346,00:01:00
3485,62456336,00:01:10
3487,62456639,00:01:00
3489,62458005,00:01:49
3491,62459358,00:00:57
2977,60946463,00:01:32
2962,60946585,00:01:13
2960,60946604,00:00:49
3045,60953809,00:03:32
3043,60953828,00:02:16
3041,60953851,00:00:50
3028,,00:00:37
3026,60955824,00:00:35
3428,62449896,00:00:57
3393,62449074,00:00:57
3340,62429091,00:00:55
3456,62450901,00:00:57
3452,62450891,00:00:52
3471,62450995,00:00:55
3458,62450908,00:00:53
3460,62450914,00:00:57
3434,62449979,00:01:02
3431,62451454,00:02:26
3440,62450076,00:00:55
3445,62450852,00:00:56
3480,62453466,00:01:27
3478,62453461,00:00:58
3474,62453428,00:00:57
3482,62455130,00:01:00
3484,62455802,00:00:57
3488,62457907,00:03:26
3492,62459444,00:00:54
3503,62477111,00:01:24
2216,60794269,00:01:54
2217,60794304,00:01:14
2218,60794447,00:01:44
2273,60801109,00:00:45
2263,60801152,00:01:19
2290,60801035,00:01:16
2288,60801047,00:00:53
2277,60801093,00:03:44
2295,60800999,00:01:26
2271,60801127,00:01:07
2306,60800933,00:02:43
2261,60801159,00:00:56
2305,60800941,00:01:22
2282,60801076,00:30:17
2292,60801020,00:02:00
2291,60801028,00:01:00
2289,60801039,00:01:06
2287,60801054,00:00:44
2285,60801065,00:01:03
2284,60801069,00:00:56
2280,60801083,00:01:05
2302,60800958,00:01:05
2279,60801086,00:01:28
2278,60801089,00:01:20
2276,60801095,00:01:29
2275,60801101,00:01:34
2274,60801104,00:01:16
2268,60801136,00:00:49
2270,60801130,00:00:48
2269,60801133,00:00:45
2267,60801140,00:00:26
2266,60801143,00:00:47
2253,60801185,00:02:20
2259,60801166,00:00:43
2260,60801162,00:00:53
2255,60801180,00:00:43
2258,60801170,00:00:51
2257,60801175,00:00:53
2254,60801182,00:00:48
2293,60801013,00:02:41
2304,60800945,00:01:42
2297,60800986,00:00:50
2296,60800990,00:01:15
2294,60801005,00:00:57
3005,60946610,00:01:37
3044,60953814,00:01:52
3042,60953840,00:01:52
3018,60956379,00:00:44
3106,61244640,00:00:37
3348,62429517,00:01:27
3395,62449102,00:01:04
3344,62429176,00:00:55
3414,62449668,00:01:03
3416,62449657,00:01:06
3399,62449622,00:01:00
3470,62451001,00:01:05
3420,62449738,00:02:50
3461,62450915,00:01:01
3448,62452234,00:00:47
3439,62450010,00:00:59
3438,62450026,00:00:55
3433,62451466,00:00:55
3468,62451005,00:01:05
2303,60800953,00:00:25
2301,60800966,00:01:35
2283,60801071,00:00:28
3028,60954050,00:00:30
2281,60801080,00:01:01
2984,60946388,00:00:58
3022,60954097,00:02:52
3060,60953700,00:01:58
3058,60953710,00:01:21
3067,60954137,00:03:29
3040,60953867,00:00:54
3038,60953876,00:00:48
3036,60953900,00:00:54
3034,60953923,00:02:05
3017,60956385,00:00:34
3032,60953936,00:03:09
3068,60957350,00:02:26
3030,60953952,00:00:19
2300,60800970,00:01:12
2272,60801112,00:00:51
3023,60954091,00:03:33
2983,60946398,00:01:29
2973,60946494,00:00:49
3021,60954104,00:02:32
3019,60954115,00:03:12
3013,60954130,00:05:11
3041,60953859,00:01:29
3039,60953873,00:00:50
3066,60954136,00:00:20
3037,60953883,00:00:40
3035,60953908,00:02:52
3031,60953943,00:02:44
3026,60954066,00:00:19
3066,60957337,00:00:36
3025,60954077,00:03:11
3350,62429762,00:00:58
3353,62429992,00:01:53
3362,62432264,00:01:09
3372,62446941,00:00:53
3410,62449640,00:01:01
2299,60800976,00:01:30
2298,60800981,00:01:36
2264,60801150,00:00:58
3504,62477236,00:01:03
2262,60801156,00:01:38
2256,60801177,00:00:38
3015,60954126,00:04:02
2997,60946249,00:00:47
2982,60946408,00:01:02
2979,60946426,00:00:51
2971,60946510,00:00:55
3011,60954132,00:04:08
2970,60946516,00:01:49
3064,60954138,00:00:13
3009,60946646,00:02:38
3062,60954141,00:02:41
2971,60954146,00:00:45
3033,60953930,00:02:21
3064,60957357,00:01:06
3029,60954036,00:02:18
3027,60954059,00:03:32
3017,60954122,00:00:24
3346,62429367,00:00:57
2286,60801062,00:00:23
2265,60801147,00:00:48
2993,60946280,00:03:37
2995,60946270,00:01:48
2276,60839087,00:01:09
2313,60839125,00:00:48
2315,60938428,00:01:14
2312,60839132,00:00:46
2314,60839136,00:00:58
2316,60839146,00:00:46
2422,2609203,00:00:25
2947,60941652,00:02:09
2303,60839038,00:01:01
2286,60839057,00:00:52
2267,60839092,00:01:36
2283,60839067,00:01:01
2282,60839080,00:00:48
2267,60839095,00:02:27
2648,2609374,00:01:15
2276,60839102,00:01:02
2282,60839107,00:00:50
2283,60839109,00:00:45
2286,60839114,00:00:45
2303,60839117,00:01:08
2312,60839120,00:00:56
2952,60942906,00:02:29
2946,60941647,00:00:50
2950,60942439,00:02:31
2949,60942351,00:01:40
2951,60942618,00:00:43
2954,60943311,00:00:53
2953,60943134,00:01:06
2952,60942987,00:01:04
2955,60943461,00:00:50
2956,60943517,00:00:57
2957,60943823,00:01:00
2958,60944056,00:01:17
2958,60944095,00:00:59
2959,60944098,00:01:16
3520,62477719,00:00:58
2998,60946244,00:00:54
2988,60946334,00:01:32
2986,60946361,00:02:19
2985,60946371,00:00:46
2976,60946469,00:01:46
2975,60946477,00:01:14
3006,60946622,00:03:09
3024,60954084,00:06:20
3020,60954111,00:03:19
3005,60954143,00:02:03
3358,62431428,00:01:14
3370,62446944,00:00:54
3343,62429156,00:01:30
3341,62429161,00:01:01
3375,62447443,00:00:59
3356,62430272,00:01:04
3417,62449685,00:01:15
3415,62449666,00:00:57
3427,62449850,00:01:01
3425,62449857,00:00:59
3411,62449643,00:00:54
3436,62450052,00:01:06
3418,62449708,00:03:30
3419,,00:02:44
3423,62449866,00:00:59
3432,62451462,00:02:28
3467,62451007,00:01:00
3444,62450845,00:01:00
9516,8665868,00:00:57
3003,60946193,00:01:23
3421,62449756,00:01:05
3002,60946201,00:04:04
3001,60946214,00:00:43
2996,60946260,00:03:38
2994,60946275,00:01:43
2992,60946290,00:00:48
2990,60946316,00:01:41
2972,60946503,00:01:25
3359,62431708,00:01:12
2961,60946595,00:01:13
3008,60946623,00:00:59
3018,60954119,00:02:16
3016,60954124,00:02:37
3345,62429290,00:00:51
3346,62429347,00:01:02
3352,62429866,00:01:47
3357,62431133,00:01:00
3453,62450894,00:00:53
3403,62449605,00:03:40
3449,62450875,00:00:59
3457,62450904,00:01:00
3463,62450918,00:01:18
3464,62450920,00:01:05
3441,62450069,00:00:59
3448,62450874,00:00:18
3435,62449993,00:02:41
3465,62450921,00:00:54
3477,62453440,00:00:58
3475,62453433,00:01:02
3506,62477479,00:00:53
