id,slurm_id,elapsed
7534,303532,00:01:37
1807,57110867,00:00:00
1806,57110868,00:00:00
1808,57110870,00:00:00
1804,57110873,00:00:00
1805,57110875,00:00:00
1802,57110877,00:00:00
1783,57110883,00:00:00
1810,57111234,00:00:00
1801,57111413,00:01:34
1827,57112168,00:00:23
1834,57112978,00:01:41
1923,58230505,00:00:19
1795,57110879,00:00:00
1811,57111400,00:01:22
1924,58231974,00:01:33
1814,57111407,00:01:38
1795,57111415,00:01:37
1925,58232018,00:01:36
1827,57112313,00:02:10
1907,58094116,00:01:23
1903,58094128,00:01:40
1924,58231072,00:00:18
1809,57111184,00:00:00
1809,57111373,00:01:18
1831,57112320,00:00:20
1833,57112323,00:00:23
1904,58094125,00:01:43
1916,58248578,00:01:24
1811,57111259,00:00:00
2059,2234176,00:02:10
1914,58227550,00:01:46
1817,57111636,00:01:51
1915,58227690,00:01:35
1819,57111786,00:01:56
1834,57112452,00:00:10
1933,58281659,00:01:23
1831,57112986,00:01:43
1913,58227521,00:00:15
1923,58231028,00:01:27
1802,57111409,00:02:34
1813,57111404,00:01:27
1812,57111402,00:01:46
1790,57109869,00:01:28
1792,57109917,00:01:24
1794,57109955,00:02:05
1783,57111417,00:01:53
1810,57111397,00:01:43
1791,57109896,00:01:40
1815,57111442,00:01:29
1759,,00:00:16
1759,,00:01:33
1816,57111634,00:01:22
1818,57111640,00:01:42
1820,57111788,00:02:00
1913,58227643,00:01:38
1800,57110478,00:01:25
1926,58246047,00:02:06
1821,57111830,00:01:46
1835,57112447,00:01:25
1824,57111956,00:01:35
1836,57112444,00:00:12
1833,57112456,00:01:55
1771,57105025,00:00:19
1771,57105118,00:01:23
1772,57105249,00:00:16
1772,57105442,00:01:34
1774,57106958,00:01:34
1773,57106883,00:01:27
1778,57107894,00:01:14
1775,57107080,00:01:22
1776,57107479,00:01:15
1780,57108179,00:01:09
1777,57108213,00:00:13
1777,57108310,00:01:28
1771,57104745,00:00:20
1782,57108535,00:01:23
1789,57109835,00:01:27
1787,57109817,00:01:25
1788,57109828,00:01:31
1777,57107808,00:00:16
1779,57108037,00:01:36
1823,57111907,00:01:36
1777,57108322,00:00:07
1795,57110112,00:00:09
1781,57108360,00:01:24
1797,57110287,00:01:32
1783,57108643,00:00:14
1785,57109801,00:00:13
1829,57112315,00:01:23
1918,58228397,00:01:31
1783,57109794,00:00:18
1784,57109797,00:01:26
1786,57109808,00:01:44
1822,57111906,00:01:46
1801,57110588,00:00:16
1796,57110590,00:01:18
1826,57112087,00:00:50
1827,57112092,00:00:08
1828,57112095,00:01:05
1831,57112460,00:00:09
1830,57112990,00:01:30
1832,57112983,00:01:54
1920,58229699,00:01:32
1793,57109931,00:00:15
1793,57110483,00:00:20
1832,57112459,00:00:35
1830,57112463,00:00:57
1825,57111957,00:01:42
1830,57112317,00:00:26
1832,57112321,00:00:25
1837,57112952,00:01:48
1796,57110120,00:00:27
1793,57110489,00:00:20
1785,57110499,00:00:17
1826,57111992,00:00:34
1836,57112957,00:04:18
1785,57110594,00:01:50
1795,57110591,00:00:17
1783,57110596,00:00:20
1793,57110592,00:01:22
1805,57110727,00:00:17
1801,57110660,00:01:35
1807,57110803,00:00:19
1802,57110663,00:00:14
1803,57110667,00:00:15
1795,57110669,00:00:13
1804,57110713,00:00:09
1806,57110774,00:00:18
1826,57112164,00:01:55
1829,57112174,00:00:28
1803,57110836,00:28:07
2094,60108108,00:01:49
2119,60565591,00:01:49
2139,60602293,00:01:23
2120,60567156,00:01:08
2093,60108101,00:01:56
2095,60108244,00:02:23
2153,60644028,00:00:21
2153,60644169,00:02:17
2096,60108484,00:01:15
2093,60107867,00:00:08
2152,60643643,00:01:54
2153,60644143,00:00:15
3160,61718522,00:01:31
3175,61722552,00:01:23
3161,61721469,00:03:36
3168,61722254,00:01:22
3221,61919804,00:02:03
3181,61723383,00:01:23
3179,61723388,00:01:28
3177,61723396,00:01:35
3183,61723620,00:01:19
3107,61244634,00:01:48
3180,61723386,00:01:22
3178,61723392,00:01:26
3184,61723634,00:01:24
3169,61722256,00:01:12
3187,61724309,00:01:42
3185,61724302,00:01:21
3172,61722385,00:01:43
3190,61724324,00:01:17
3186,61724306,00:01:43
3188,61724313,00:01:43
3171,61722383,00:02:19
3189,61724318,00:01:27
3192,61726880,00:02:27
3194,61726897,00:01:20
3191,61726872,00:02:11
3193,61726889,00:01:43
3195,61726906,00:01:20
3173,61722544,00:01:23
3176,61723404,00:01:25
3196,61726914,00:01:23
3174,61722550,00:03:19
3197,61728588,00:01:09
11140,13259592,00:01:46
3981,62542408,00:02:33
4033,62672034,00:00:00
3980,62542402,00:02:47
3979,62542393,00:02:52
3999,62572931,00:02:56
4033,62671995,00:12:48
4016,62586715,00:03:05
3977,62542379,00:02:32
3978,62542386,00:02:38
4033,62653751,00:05:00
7537,303524,00:01:46
4007,62582612,00:03:14
4034,62654022,00:10:14
4032,62652287,00:03:24
4032,62652305,00:03:17
4033,62654138,00:04:46
4034,62672031,00:00:00
7536,303525,00:01:51
7552,305798,00:02:11
7535,303531,00:01:52
7050,66717851,00:01:40
7063,66719364,00:01:45
7059,66719368,00:01:50
7075,66719740,00:01:59
7084,66719880,00:01:03
7115,66721000,00:01:10
7118,66721085,00:01:13
7113,66720987,00:01:12
7193,66725278,00:02:04
7117,66721059,00:01:05
7088,66719888,00:01:16
7188,66725288,00:02:03
7137,66723018,00:01:50
7093,66720258,00:01:33
7096,66720327,00:01:20
7098,66720396,00:01:16
7099,66720398,00:01:31
7103,66720584,00:01:14
7107,66720747,00:01:14
7105,66720750,00:01:15
7185,66725551,00:01:31
7172,66724760,00:02:10
7170,66724763,00:00:21
7165,66725237,00:02:40
7216,66726206,00:01:52
7301,66999577,00:01:58
7317,13034,00:02:06
7315,5541860,00:02:57
7328,35428,00:04:35
7322,19942,00:03:54
7494,5697874,00:01:41
7505,5698232,00:01:19
7082,66719876,00:01:37
7086,66719885,00:01:14
7048,66717688,00:01:49
7046,66717694,00:01:37
7055,66719146,00:01:47
7092,66720255,00:01:22
7066,66719356,00:01:23
7150,66723748,00:01:19
7094,66720259,00:01:21
7095,66720276,00:01:36
7111,66720966,00:01:25
7156,66724373,00:02:56
