id,slurm_id,elapsed
3499,62476754,00:00:30
1848,57665119,00:00:25
1843,57663119,00:00:23
1989,58760952,00:00:35
1990,58760994,00:00:27
1845,57664789,00:00:31
1844,57664782,00:00:28
1932,58280971,00:00:33
1846,57664906,00:00:34
1987,58760851,00:00:29
1847,57664913,00:00:30
3499,62476932,00:00:33
1849,57665125,00:00:25
1850,57710148,00:00:47
1851,57710239,00:00:27
1988,58760916,00:00:24
2007,2205236,00:00:58
2091,59979170,00:00:24
2006,59204724,00:16:35
2092,60056010,00:00:27
2084,59977606,00:00:27
2072,59973085,00:00:22
2074,59973617,00:00:22
2074,59973635,00:00:09
2116,60538869,00:00:21
2124,60599080,00:00:34
2077,59976444,00:00:41
2074,59976506,00:00:31
2090,59979168,00:00:21
2078,59976447,00:00:45
2089,59979155,00:00:26
2098,60535102,00:00:24
2073,59973558,00:00:52
2083,59977598,00:00:23
2115,60538852,00:00:22
2117,60538883,00:00:24
2175,60683860,00:00:14
2183,60682719,00:00:31
2180,60682737,00:00:22
2176,60682746,00:00:24
3204,61799830,00:00:21
3329,3089140,00:01:49
2177,60682744,00:00:24
3220,62039605,00:00:12
3129,,
2184,60682716,00:00:38
2182,60682723,00:00:22
2175,60682754,00:00:22
3243,62107310,00:00:08
3131,61295401,00:00:28
3244,62107657,00:03:06
2179,60682741,00:00:28
2176,60683252,00:00:10
3130,61295402,00:00:22
3243,62107340,00:00:16
2175,60683808,00:00:08
3243,62107356,00:00:07
3131,,
2207,60793782,00:01:12
2208,60793790,00:00:56
2209,60793796,00:00:48
2213,60793904,00:00:58
2211,60793915,00:00:50
2210,60793921,00:01:14
2197,60785779,00:00:30
2197,60785831,00:00:32
2202,60789023,00:00:43
2204,60789447,00:00:30
2206,60793775,00:01:18
3244,62107385,00:00:17
3244,62107431,00:00:12
3131,61296614,00:00:31
3141,61485000,00:00:39
3327,3089095,00:01:39
3131,,
3142,61485101,00:01:09
3220,,
2943,60940071,00:02:18
2944,60940357,00:01:31
2945,60941506,00:00:40
2942,60939734,00:01:20
2948,60942318,00:01:17
3127,61262355,
3326,3089083,00:01:59
3130,61295400,00:00:24
3330,3089149,00:01:29
3331,62365128,00:00:20
3331,3089160,00:01:32
3128,61262389,
3328,3089139,00:02:02
3244,62107395,00:00:24
3243,62108200,00:01:01
3328,3089135,00:01:31
3493,62459490,00:00:26
3968,62523608,00:00:30
3863,62496859,00:00:31
4286,62827843,00:00:34
4287,62844256,00:00:27
4317,62884164,00:00:27
3969,62523722,00:00:26
3970,62523944,00:01:18
4025,62671994,00:20:52
3967,62523424,00:00:31
4285,62844254,00:00:28
4333,3211050,00:01:41
3970,3113397,00:04:25
4743,63000269,00:00:12
4744,63000277,00:00:13
4745,63000281,00:00:09
7225,5454134,00:00:27
4742,63000267,00:00:28
4798,3300295,00:00:55
4798,63153699,00:00:32
11502,14201010,00:00:29
4928,63313843,00:00:31
5578,63932598,00:00:26
6859,66692026,00:00:27
5334,63662076,00:00:27
5334,3414174,00:00:53
5350,3416147,00:00:56
5577,63932530,00:00:29
5583,63974815,00:00:39
6462,4665959,00:00:21
6464,4666514,00:00:24
5579,63932623,00:00:28
5560,63928548,00:00:21
5513,63907482,00:00:29
5562,63928697,00:00:23
5563,63928752,00:00:25
5561,63930252,00:00:22
5565,63930645,00:00:24
5567,63930983,00:00:25
5568,63930997,00:00:21
5569,63931201,00:01:51
5570,63931287,00:00:21
6108,,
6108,64763012,00:00:28
5627,3556641,00:00:19
6134,64767985,00:00:33
6312,,
6311,65637344,00:00:26
6325,65661882,00:00:33
6463,4666028,00:01:22
6405,4636865,00:00:17
6395,,00:00:20
6504,66382993,00:00:27
11508,14201169,00:00:12
6859,5353946,00:00:58
7545,304922,00:01:34
7980,1639648,00:00:23
8856,7434283,00:00:40
7546,304971,00:01:35
7612,306902,00:00:51
7553,305940,00:01:15
7971,6189228,00:00:16
7970,6189049,00:00:17
7831,6156253,00:00:16
11492,14198758,00:00:16
9240,8158433,00:00:55
10836,12636282,00:00:40
9177,8067092,00:01:31
10837,12636716,00:00:58
10670,,
10674,11155781,00:00:28
10675,11191753,00:01:14
10670,10822756,00:02:37
9897,8834900,00:01:10
10676,11190956,00:30:21
10676,11158387,00:30:17
10670,10823030,00:02:22
10676,11159937,00:30:16
10670,10857325,00:02:29
10670,10880480,00:00:40
11515,14201891,00:00:14
10670,10881311,00:00:29
10670,10888710,00:00:34
10750,11374921,00:00:18
10749,11374917,00:30:19
10670,10884196,00:00:25
10676,11265982,00:30:02
10671,11265988,00:00:11
10749,11375458,00:00:32
9240,8157830,00:00:21
10670,10886989,00:00:46
10670,10890214,00:00:23
9251,8203032,00:00:26
9242,8162096,00:00:23
9242,8163654,00:00:08
10372,10039002,00:00:26
10670,10888330,00:00:19
10533,10282526,00:30:12
10671,10890196,00:00:07
9340,8405916,00:00:49
9365,8459711,00:00:15
10371,10038066,00:00:23
10373,10039191,00:00:28
10372,10039473,00:00:12
10670,10890219,00:00:37
9367,8460828,00:00:11
10371,10039469,00:00:10
9937,8887504,00:01:02
10309,9969424,00:00:25
10373,10039483,00:00:14
9380,8463025,00:00:15
9363,8459572,00:00:44
9364,8459664,00:00:19
9366,8459754,00:02:55
9368,8460841,00:00:24
9369,8461032,00:00:22
9371,8461205,00:00:07
9372,8461477,00:00:19
9373,8461508,00:00:45
9374,8461561,00:01:16
9375,8461998,00:00:07
9376,8462629,00:03:10
9376,8462653,00:01:38
9378,8462841,00:00:18
9444,8562973,00:01:19
9444,8563299,00:01:24
9440,8554006,00:01:19
9442,8554467,00:00:54
